"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"114","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Santiago",1,"PEDRO DE VALDIVIA 291 1 SUB",361,5,10,"SA","361_SA_5",2015.03648219325,1920.48468256107,1767.78742911214,1709.19130342397,1619.22851699816,1616.7809951791,1490.9114911629
"115","CIA.ELECTROMETALURGICA S.A.","óu“oa",5,"AV. V.MACKENNA 1570 GCIA.. GEN",21,1,90,"NU","21_NU_1",2016.46670138631,1922.63424737378,1769.45952021297,1710.2555354979,1634.82706375725,1621.91202412375,1498.91651186885
"116","CIA.ELECTROMETALURGICA S.A.","óu“oa",5,"AVDA VICU?A MACKENNA 1570 G COMERCIAL",211,3,40,"NU","211_NU_3",2016.46670138631,1922.63424737378,1769.45952021297,1710.2555354979,1634.82706375725,1621.91202412375,1498.91651186885
"117","CIENTOCHENTA GRADOS S.A.","Providencia",2,"NVA.LOS LEONES 07 PISO 10",362,5,240,"PR","362_PR_5",2021.93385136489,1928.18911118443,1773.13416543921,1713.21856953351,1645.94524071726,1622.98224458279,1502.05975481007
"118","CITIBANK N.A.","Providencia",2,"AV PROVIDENCIA 655",22,1,60,"PR","22_PR_1",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"119","CITIBANK N.A.","Las Condes",3,"AV EL  BOSQUE  0500  P. 3",213,3,90,"LC","213_LC_3",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"120","CITIBANK N.A.","Providencia",2,"PROVIDENCIA 2653  P 2",139,2,60,"PR","139_PR_2",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"121","CITIBANK N.A.","Santiago",1,"HUERFANOS 770",140,2,50,"SA","140_SA_2",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"122","CITIBANK N.A.","Santiago",1,"TEATINOS 180 P1",288,4,60,"SA","288_SA_4",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"123","CITIBANK N.A.","Providencia",2,"ORREGOLUCO 58",287,4,90,"PR","287_PR_4",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"124","CITIBANK N.A.","Santiago",1,"AHUMADA 40",212,3,40,"SA","212_SA_3",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"125","CITIBANK N.A.","Vitacura",4,"O BRIEN 2235",138,2,90,"VI","138_VI_2",2022.43734792075,1939.13812693945,1776.06831856753,1738.16418060824,1657.50200212066,1627.60566067954,1522.16371098635
"126","CLINICA ALEMANA DE SANTIAGO S.A.","Vitacura",4,"CONCILIO VATICANO 6017",363,5,10,"VI","363_VI_5",2022.72019087133,1940.52236689895,1776.65504589403,1747.34814312858,1661.7296355855,1633.77617551172,1532.84331426535
"127","CLINICA ALEMANA DE SANTIAGO S.A.","Vitacura",4,"AV.  VITACURA 5951 CENTRO COPI",214,3,25,"VI","214_VI_3",2022.72019087133,1940.52236689895,1776.65504589403,1747.34814312858,1661.7296355855,1633.77617551172,1532.84331426535
"128","CLINITEST LTDA","Providencia",2,"RICARDO LYON 1899",215,3,45,"PR","215_PR_3",2024.78738450515,1941.82247307169,1777.8359905004,1748.73698631396,1662.42865761601,1650.30199344455,1535.75895710764
"129","CMPC CELULOSA S.A.","Santiago",1,"AGUSTINAS 1357  P2",23,1,90,"SA","23_SA_1",2025.74842445922,1943.18449508185,1779.02414070583,1760.58775867752,1687.96545671437,1661.09165670954,1559.69770123761
"130","COASIN CHILE S.A.","Providencia",2,"AV. HOLANDA 1292",24,1,100,"PR","24_PR_1",2026.84994498872,1944.26133037669,1779.08704458096,1762.21009149675,1690.75041743121,1664.25267912264,1562.43747010186
"131","COCA COLA DE CHILE S.A.","Las Condes",3,"AV. KENNEDY 5757 P.11",289,4,110,"LC","289_LC_4",2027.62972748244,1949.05211780547,1790.20897400715,1769.58857084426,1703.30884060857,1678.49516891608,1569.89772775767
"132","COGAN GRUPO NORTE S.A.","Providencia",2,"MARCHANT PEREIRA 1030",25,1,90,"PR","25_PR_1",2028.68175535748,1952.84264744402,1808.58171698284,1769.82373059505,1703.42688177742,1684.37289084845,1580.66595263668
"133","COLEGIO CALASANZ","óu“oa",5,"MONTENEGRO 661",141,2,150,"NU","141_NU_2",2028.68705311567,1956.47736237068,1812.77707129318,1772.4510915994,1708.92377830161,1700.60579879409,1582.95365521197
"134","COLEGIO CALASANZ","óu“oa",5,"MONTENEGRO 661",26,1,420,"NU","26_NU_1",2028.68705311567,1956.47736237068,1812.77707129318,1772.4510915994,1708.92377830161,1700.60579879409,1582.95365521197
"135","COLEGIO DEL SAGRADO CORAZON","Las Condes",3,"SANTA MAGDALENA SOFIA 277",27,1,180,"LC","27_LC_1",2028.86434849713,1958.86221553694,1823.65894801966,1782.54188403616,1711.23952130974,1708.57776673228,1595.24941275849
"136","COMANDANCIA EN JEFE","Santiago",1,"ZENTENO 45 P.5 ALA NORTE AYUDANTIA",216,3,80,"SA","216_SA_3",2029.09233038572,1960.76818961565,1830.91262401906,1785.23749295729,1715.1968907476,1709.03560651528,1610.0930309635
"137","COMERCIAL CYP S.A.","Santiago",1,"ESTADO 10 OF. 1701",28,1,30,"SA","28_SA_1",2030.55718481677,1962.42591538917,1833.59908009694,1809.50198056707,1740.12932367375,1714.32960057517,1610.43889331706
"138","COMERCIAL ECCSA S.A.","Santiago",1,"HUERFANOS 979  OF.401",29,1,60,"SA","29_SA_1",2035.1321907365,1971.60712551185,1847.31052469723,1826.19488263965,1744.91148864891,1716.07801141609,1626.0342784558
"139","COMERCIALIZADORA INTEGRAL LTDA.","Providencia",2,"ISIDORITA 143",364,5,1,"PR","364_PR_5",2035.25968760669,1972.02961626131,1850.75637276424,1828.53627870484,1746.79284322517,1726.45684788747,1627.02507924447
"140","COMERCIALIZADORA S.A.","Santiago",1,"ALAMEDA 757 P5",217,3,150,"SA","217_SA_3",2038.44309666943,1978.66173418027,1853.16616555898,1830.8582940663,1751.22826976216,1731.33858735911,1667.98899584477
"141","COMERCIALIZADORA S.A.","Santiago",1,"PUENTE 696 P.2 DPTO.CREDITO",365,5,120,"SA","365_SA_5",2038.44309666943,1978.66173418027,1853.16616555898,1830.8582940663,1751.22826976216,1731.33858735911,1667.98899584477
"142","COMERCIALIZADORA S.A.","Santiago",1,"PUENTE 640 DEPTO CREDITO P1",290,4,60,"SA","290_SA_4",2038.44309666943,1978.66173418027,1853.16616555898,1830.8582940663,1751.22826976216,1731.33858735911,1667.98899584477
"143","COMISION NACIONAL DE RIEGO","Santiago",1,"VALENTIN LETELIER 1350 P.1",291,4,150,"SA","291_SA_4",2039.38031940914,1981.05885973465,1853.9246324302,1835.8271384922,1758.08236833614,1752.6844716057,1680.42520915523
"144","COMISION NACIONAL DEL MEDIO AMBIENTE","Providencia",2,"OBISPO DONOSO 6 PISO 6",292,4,50,"PR","292_PR_4",2044.25576875163,1993.83225599726,1855.83019695205,1847.34675727947,1763.43228866789,1756.55856565366,1721.93982932888
"145","COMISION NACIONAL DEL MEDIO AMBIENTE","Providencia",2,"OBISPO DONOSO 6 PISO 1",293,4,165,"PR","293_PR_4",2044.25576875163,1993.83225599726,1855.83019695205,1847.34675727947,1763.43228866789,1756.55856565366,1721.93982932888
"146","CONFECCIONES GERARD LTDA.","Santiago",1,"NATANIEL COX 1528",294,4,90,"SA","294_SA_4",2044.72001245705,1997.50678911291,1860.43433524342,1858.19534351188,1780.85310710164,1761.51266638424,1728.39611296843
"147","CONSEJO LOCAL DE DEPORTES LAS CONDES","Las Condes",3,"CERRO COLORADO 5435",142,2,50,"LC","142_LC_2",2047.63379376838,2000.30553736756,1862.7378446522,1874.95325982788,1788.42517873423,1764.33065455457,1731.64824521455
"148","CONSERVADOR DE BIENES RAICES","Santiago",1,"MORANDE 440 P.2",218,3,120,"SA","218_SA_3",2052.20971788596,2007.55312640515,1864.30903627068,1884.06755332526,1790.73127879987,1767.03838643205,1734.88131156487
"149","CONSERVADOR DE BIENES RAICES","Santiago",1,"MORANDE 440 P.4",219,3,90,"SA","219_SA_3",2052.20971788596,2007.55312640515,1864.30903627068,1884.06755332526,1790.73127879987,1767.03838643205,1734.88131156487
"150","CONSERVADOR DE BIENES RAICES","Santiago",1,"MORANDE 440  P.2",143,2,180,"SA","143_SA_2",2052.20971788596,2007.55312640515,1864.30903627068,1884.06755332526,1790.73127879987,1767.03838643205,1734.88131156487
"151","CONSORCIO ARA-INGENDESA LTDA.","Santiago",1,"SAN ISIDRO 65",144,2,90,"SA","144_SA_2",2057.92432270933,2016.55847590383,1865.02390402184,1892.6439231214,1791.0731127087,1777.19580824041,1740.71109611282
"152","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Las Condes",3,"CALLAO 2928 PISO 1",145,2,60,"LC","145_LC_2",2058.90194926868,2016.89118241095,1873.85765572323,1902.53778755716,1807.75244201656,1777.45076240959,1746.77792260779
"153","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Santiago",1,"BANDERA 248 LC.1",146,2,165,"SA","146_SA_2",2058.90194926868,2016.89118241095,1873.85765572323,1902.53778755716,1807.75244201656,1777.45076240959,1746.77792260779
"154","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Las Condes",3,"AV.EL BOSQUE SUR 180 P6 RRHH",147,2,30,"LC","147_LC_2",2058.90194926868,2016.89118241095,1873.85765572323,1902.53778755716,1807.75244201656,1777.45076240959,1746.77792260779
"155","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Providencia",2,"EL BOSQUE 180 PISO 6",220,3,60,"PR","220_PR_3",2058.90194926868,2016.89118241095,1873.85765572323,1902.53778755716,1807.75244201656,1777.45076240959,1746.77792260779
"156","CONSTRA.ASOC.B Y C LTDA.","Providencia",2,"LAS URBINA 53 OF 141",30,1,60,"PR","30_PR_1",2060.93513710701,2022.70951968837,1875.44547155118,1908.08431324215,1811.66956514682,1779.24206963788,1747.9481863029
"157","CONSTRUCTORA CABO DE HORNOS LTDA.","Las Condes",3,"LINEO 6557",295,4,60,"LC","295_LC_4",2061.32379833536,2023.87915616842,1876.58503503635,1911.33855557063,1822.55267290804,1780.39131177046,1757.98687175442
"158","CONSTRUCTORA COPEVA S. A.","Santiago",1,"PHILLIPS 84 OF 49",366,5,20,"SA","366_SA_5",2065.11039013087,2025.30987139563,1892.134189313,1913.33872308836,1827.83753104154,1789.92375707713,1762.91463696629
"159","CORPBANCA","Santiago",1,"HUERFANOS 1072   P8",32,1,90,"SA","32_SA_1",2067.81334652007,2025.66396542109,1893.21600819502,1921.1103308403,1835.37908617567,1794.93081180656,1765.30787814724
"160","CORPBANCA","Santiago",1,"ALAMEDA 2206 PISO 1",31,1,90,"SA","31_SA_1",2067.81334652007,2025.66396542109,1893.21600819502,1921.1103308403,1835.37908617567,1794.93081180656,1765.30787814724
"161","CORPORACION DE AYUDA AL PACIENTE MENTAL","Providencia",2,"MELCHOR CONCHA 9 BARRIO BELLAVISTA",367,5,15,"PR","367_PR_5",2070.96237286701,2026.2469088782,1904.76229230289,1922.84914349227,1836.79562849742,1806.33440142048,1766.42124378226
"162","COZ Y CIA. LTDA.","Las Condes",3,"AV LAS CONDES 11380 OF. 101",33,1,150,"LC","33_LC_1",2074.01884401702,2028.0597853844,1912.03339735543,1926.90397186212,1839.421275427,1810.16383473897,1772.49071459062
"163","CTRO. DE ANALISIS Y ASES DE MERCADO  LTD","Providencia",2,"CARLOS ANTUNEZ  1843 DEPTO  105  BLOCK22",221,3,35,"PR","221_PR_3",2075.2546615822,2030.70613659282,1919.40734685763,1934.08103534669,1848.46026538077,1815.7989829297,1774.17546355898
"164","DEFENSA CIVIL DE CHILE","Santiago",1,"VERGARA 135",296,4,90,"SA","296_SA_4",2075.56224215088,2035.78744903029,1942.62314755496,1940.63945461719,1857.21889578543,1848.06079588847,1779.74426168353
"165","DELOITTE & TOUCHE","Providencia",2,"PROVIDENCIA 1760 PISO 9",222,3,60,"PR","222_PR_3",2077.99869544987,2036.01623044629,1948.9076252822,1954.26029778059,1857.29980341667,1857.08787511673,1794.31989522988
"166","DELOITTE & TOUCHE OUTSOURCING S.A.","Providencia",2,"AV PROVIDENCIA 1760 PISO 6",223,3,40,"PR","223_PR_3",2080.87966952585,2036.28545509588,1949.0372969678,1960.00072977801,1864.61037520088,1859.35084069221,1794.50267903123
"167","DELTOUR","Providencia",2,"MONSE?OR FELIX CABRERA 62",224,3,50,"PR","224_PR_3",2086.34975854959,2036.44274509511,1952.77363436997,1969.19568687798,1877.22421271007,1867.00617250935,1795.59489775836
"168","DERCO AUTOS S.A.","Las Condes",3,"AV KENNEDY 5601 1ER SUBTE",34,1,80,"LC","34_LC_1",2087.80397886582,2036.61220609907,1957.81115681566,1969.62081734054,1890.45502562995,1869.65346681531,1804.3321180912
"169","DIARIO EL SUR S.A.","Santiago",1,"CATEDRAL 1009   OF 306",148,2,90,"SA","148_SA_2",2088.40301524065,2037.99820503786,1965.98360573847,1980.81955921438,1891.8507428175,1872.87378335838,1839.15568678052
"170","DILACO LTDA","Providencia",2,"PEREZ VALENZUELA  N? 1138 P 4",368,5,5,"PR","368_PR_5",2088.44984521867,2040.43752229474,1972.21666225473,1982.96584801391,1892.15439785743,1874.32379705956,1841.32439010453
"171","DIRECCION DEL TRABAJO","Santiago",1,"AGUSTINAS 1253 P.6 OF.601 PRES",369,5,120,"SA","369_SA_5",2089.83651989596,2042.95084751384,1972.39822191802,1990.4660216233,1899.88916365859,1880.63681458276,1845.23570345668
"172","DIRECCION DEL TRABAJO","Santiago",1,"AGUSTINAS 1253 PISO 6 OFIC. PA",370,5,140,"SA","370_SA_5",2089.83651989596,2042.95084751384,1972.39822191802,1990.4660216233,1899.88916365859,1880.63681458276,1845.23570345668
"173","DIRECCION NACIONAL GENDARMERIA DE CHILE","Santiago",1,"ROSAS 1274 PISO 3",225,3,80,"SA","225_SA_3",2090.73061854917,2043.20208783483,1978.40603044806,1996.08876561541,1902.38684422096,1884.53663344248,1855.82725850587
"174","DIRECCION NACIONAL GENDARMERIA DE CHILE","Santiago",1,"ROSAS 1274 PISO 1 (CONTAB Y PR",35,1,105,"SA","35_SA_1",2090.73061854917,2043.20208783483,1978.40603044806,1996.08876561541,1902.38684422096,1884.53663344248,1855.82725850587
"175","DISTRIBUIDORA AUTOMOTRIZ SANTIAGO S.A.","Santiago",1,"COQUIMBO 345",297,4,100,"SA","297_SA_4",2091.13301712269,2044.58391472278,1981.36933272131,1997.12491592108,1903.56187574732,1899.739565314,1868.24128709977
"176","ECHEVERRIA,IZQUIERDO,ING. Y CONST. S.A.","Las Condes",3,"BENJAMIN 2944 PISO 2.",36,1,60,"LC","36_LC_1",2093.08449529944,2046.0641928073,1983.32683072921,1998.32309651008,1910.69743947339,1908.83912883075,1883.72131900824
"177","ECOLAB S.A.","Providencia",2,"PEDRO DE VALDIVIA 3801",298,4,120,"PR","298_PR_4",2093.7862529453,2047.2610509909,1983.84799084779,2014.32820446876,1911.29430119113,1909.37010775592,1887.6467182885
"178","EJERCITO DE CHILE DIRECCION DE LOGISTICA","Santiago",1,"ZENTENO 45 P 8",150,2,120,"SA","150_SA_2",2094.03845705,2047.59211381228,1984.00837062755,2022.17814781949,1915.54095499601,1916.21843275547,1892.44898434038
"179","EJERCITO DE CHILE DIRECCION DE LOGISTICA","Santiago",1,"ZENTENO 45 P.8 AYUDANTIA PERS.",149,2,235,"SA","149_SA_2",2094.03845705,2047.59211381228,1984.00837062755,2022.17814781949,1915.54095499601,1916.21843275547,1892.44898434038
"180","EJERCITO DE SALVACION","Santiago",1,"AV.ESPAóA 46-PISO 2",151,2,120,"SA","151_SA_2",2094.71028978506,2053.14069126489,1985.41755923024,2035.36164114591,1917.84239986664,1923.289881079,1905.35231500036
"181","EMBAJADA DE ITALIA","Providencia",2,"CLEMENTE FABRES 1050",38,1,80,"PR","38_PR_1",2099.29492782595,2054.14134400916,1991.2558324889,2042.73423270631,1920.11934808826,1942.70764285158,1920.6788745505
"182","EMBAJADA DE ITALIA","Providencia",2,"CLEMENTE FABRES 1050",371,5,30,"PR","371_PR_5",2099.29492782595,2054.14134400916,1991.2558324889,2042.73423270631,1920.11934808826,1942.70764285158,1920.6788745505
"183","EMBAJADA DE ITALIA","Providencia",2,"CLEMENTE FABRES 1050",37,1,60,"PR","37_PR_1",2099.29492782595,2054.14134400916,1991.2558324889,2042.73423270631,1920.11934808826,1942.70764285158,1920.6788745505
"184","EMBAJADA DE RUSIA","Las Condes",3,"COLON 4152",39,1,90,"LC","39_LC_1",2104.22199255845,2055.3532228958,1994.7404653721,2053.52638079602,1928.68542945947,1945.19223010068,1938.18886896845
"185","EMP.CONST.AVELLANEDA LTDA.","Providencia",2,"AV. LUIS TAYER OJEDA 0191 P 16",226,3,65,"PR","226_PR_3",2104.35744127183,2061.92612282596,1998.64863598851,2058.84323252427,1949.76691829269,1954.05185095404,1943.38405819217
"186","EMP.PARA EL DEPORTE Y LA SALUD LTDA","Las Condes",3,"AVDA LAS CONDES 13635",372,5,60,"LC","372_LC_5",2104.70791962191,2065.06406901977,2006.33909372442,2064.78452215973,1950.73363176059,1955.34298273784,1950.86104157008
"187","EMPRESA NACIONAL DE EXPLOSIVOS","Las Condes",3,"RENATO SANCHEZ 3859",227,3,120,"LC","227_LC_3",2107.80718842707,2066.97867758339,2010.84816171174,2066.794794094,1955.31767090198,1955.45237967275,1960.35604363126
"188","EMPRESAS C.M.P.C. S.A.","Santiago",1,"AGUSTINAS  1343 P.9",40,1,60,"SA","40_SA_1",2112.88630360223,2068.58183935424,2016.37122787634,2067.93357844691,1957.30003808462,1960.7062280793,1962.13906991743
"189","EMPRESAS JUAN YARUR S.A.C.","Santiago",1,"MONEDA 920 OF.801",228,3,100,"SA","228_SA_3",2114.4078472473,2076.47757068187,2016.60596849774,2087.36078638529,1968.03953724408,1964.72108047832,1964.88267089228
"190","ENRIQUE OSIAC BROSKY","Las Condes",3,"LAS CONDESAS 2436",152,2,1,"LC","152_LC_2",2120.29921312674,2078.8984909528,2021.72343635014,2092.68417953664,1969.77671208232,1966.69122042064,1973.02770958766
"191","ENTEL PCS TELECOMUNICACIONES S.A.","Las Condes",3,"AV. ANDRES BELLO 2711 PISO 14",41,1,120,"LC","41_LC_1",2120.77125439843,2079.99027610675,2023.40703915539,2095.39106589801,1975.12423973088,1974.00169172122,1976.41821761962
"192","ENTEL PCS TELECOMUNICACIONES S.A.","Providencia",2,"AV. ANDRES BELLO 2777 P11",42,1,60,"PR","42_PR_1",2120.77125439843,2079.99027610675,2023.40703915539,2095.39106589801,1975.12423973088,1974.00169172122,1976.41821761962
"193","ESCUELA MILITAR","Las Condes",3,"LOS MILITARES 4500 1 COMPA?IA",299,4,60,"LC","299_LC_4",2120.81929482966,2095.48191254106,2023.88473697217,2096.80341587646,1978.0577493022,1986.4684959644,1983.7397904396
"194","ESEDEI INGENIEROS S.A.","Santiago",1,"COYANCURA 2283 P7",43,1,207,"SA","43_SA_1",2123.14985426904,2096.40514694935,2024.97152111173,2099.32563981264,1978.15546445878,1987.04898802782,1996.02677464672
"195","ESTUDIO RAUL DE LA FUENTE M. Y CIA. LTDA","Santiago",1,"Agustinas 1235 of.32 Raul de la Fuente M",300,4,105,"SA","300_SA_4",2123.48904191882,2097.17899520365,2027.40022573414,2112.27652248859,1991.34205039732,1998.96359688321,2002.07753377277
"196","EVASA S.A.","Santiago",1,"TEATINOS 449 PISO 3",301,4,75,"SA","301_SA_4",2123.52041977688,2097.65704162822,2030.14743214548,2125.12935951568,1995.9765045817,2032.11375236281,2007.16466292141
"197","EXAMENES DE LABORATORIOS S.A.","Providencia",2,"11 DE SEPTIEMBRE 1920 P4",44,1,25,"PR","44_PR_1",2124.71443438007,2104.57831184392,2031.16821427677,2125.25277748915,2002.0076104509,2035.67033687953,2009.07993797126
"198","EXTRACTOS NATURALES GELYMAR S.A.","Providencia",2,"AV. STA. MARIA 2050 P.3",153,2,230,"PR","153_PR_2",2125.34325123762,2105.40401129358,2033.56938673501,2128.66551604057,2003.7866961403,2042.59132979512,2010.85050277552
"199","FACH COMANDO LOGISTICO","Santiago",1,"ALAMEDA 1170 PISO 3",302,4,90,"SA","302_SA_4",2127.76665274344,2106.28604112631,2034.27429106441,2136.35918552569,2010.00701415736,2045.92872464361,2017.16133248919
"200","FALABELLA Y CIA. CORREDORA DE SEGUROS LT","Santiago",1,"AHUMADA 179  PISO 9  CORREDORA",373,5,60,"SA","373_SA_5",2129.72956843365,2108.90001102405,2035.72879142522,2137.15446949324,2013.29689716348,2047.84409669881,2026.26265411365
"201","FED. INTERN. DE TRAB. DE LA IND. METALUR","Providencia",2,"PROV.2019 42-B P4",154,2,170,"PR","154_PR_2",2129.75597963852,2111.99188968922,2051.1708865959,2147.97189148598,2014.7004597055,2073.56579109174,2029.73847683081
"202","FED. INTERN. DE TRAB. DE LA IND. METALUR","Providencia",2,"PROV.2019 42-B P4",374,5,105,"PR","374_PR_5",2129.75597963852,2111.99188968922,2051.1708865959,2147.97189148598,2014.7004597055,2073.56579109174,2029.73847683081
"203","FED.NAC.DE TRABAJADORES DEL COBRE","Santiago",1,"GENERAL BUSTAMANTE 627 PISO 2",155,2,240,"SA","155_SA_2",2134.59780837267,2119.88396415625,2051.27847990394,2149.58004854111,2023.03757671793,2076.583183988,2041.25383938495
"204","FOCUS GROUP CONSULTORES LTDA.","Providencia",2,"ISIDORO GOYENECHEA 3621 P9 OF 902",375,5,170,"PR","375_PR_5",2136.63913588924,2123.33731396733,2053.59246907913,2151.57244580516,2023.63930300894,2078.72691009904,2057.40764758626
"205","FORWARD COMPUTACION LTDA","Santiago",1,"ALAMEDA 108 L 119",229,3,60,"SA","229_SA_3",2137.1940901665,2123.49754587692,2054.25083639575,2152.32235573517,2028.84511766427,2092.12629114175,2071.19641777724
"206","FUNDACION ALCAZAR","Providencia",2,"GUARDIA VIEJA 255 OF. 704",156,2,80,"PR","156_PR_2",2137.62413628193,2136.27711473226,2054.45567513195,2152.63476118844,2035.44895308958,2095.48808559069,2085.49340091665
"207","FUNDACION EDUCACIONAL TABANCURA","Vitacura",4,"LAS HUALTATAS 10030",45,1,75,"VI","45_VI_1",2142.12339225438,2136.53793116549,2054.54022129968,2152.82610684998,2040.98450049393,2099.41356038194,2089.06411198605
"208","FUNDACION NACIONAL PARA LA SUPERACION DE","Santiago",1,"LONDRES 69",46,1,90,"SA","46_SA_1",2142.89223786666,2137.74756274034,2054.88278339255,2178.30978360264,2048.58393567285,2101.6430008648,2123.61936223048
"209","FUNDACION NACIONAL PARA LA SUPERACION DE","Santiago",1,"LONDRES   69",47,1,90,"SA","47_SA_1",2142.89223786666,2137.74756274034,2054.88278339255,2178.30978360264,2048.58393567285,2101.6430008648,2123.61936223048
"210","FUNDACION VIDA","Providencia",2,"RICCARDO MATTE PEREZ 0156",230,3,30,"PR","230_PR_3",2145.86029604988,2140.48974641884,2058.53305458792,2190.45381727643,2068.12304981375,2115.02747016633,2128.00876968325
"211","GASTON FUENZALIDA PROPIEDADES LTDA","Las Condes",3,"REYES LAVALLE 3330",303,4,60,"LC","303_LC_4",2145.94825223078,2142.40282545342,2063.77726367624,2193.87552766147,2069.40484997694,2118.29593568593,2128.46373084816
"212","GOLDER ASSOCIATES S.A.","Providencia",2,"AV. 11 DE SEPTIEMBRE 2353 PISO16",376,5,75,"PR","376_PR_5",2146.46690880073,2147.11376761998,2064.39197774226,2199.45027286565,2070.40957176464,2119.70739434074,2139.37306971377
"213","GRAFHIKA COPY CENTER LTDA.","Vitacura",4,"ANDRES   BELLO 2879  P. 1",304,4,120,"VI","304_VI_4",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"214","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"DOMEYKO 2338",231,3,80,"SA","231_SA_3",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"215","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"TENDERINI 78",49,1,60,"SA","49_SA_1",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"216","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"TENDERINI 78",306,4,270,"SA","306_SA_4",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"217","GRAFHIKA COPY CENTER LTDA.","Providencia",2,"GUARDIA VIEJA 240",305,4,25,"PR","305_PR_4",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"218","GRAFHIKA COPY CENTER LTDA.","Providencia",2,"GUARDIA VIEJA 240",377,5,30,"PR","377_PR_5",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"219","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"STO.  DOMINGO  1862",157,2,150,"SA","157_SA_2",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"220","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"DOMEYKO 2338",48,1,60,"SA","48_SA_1",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"221","GRAFHIKA COPY CENTER LTDA.","Providencia",2,"GUARDIA VIEJA 240",232,3,120,"PR","232_PR_3",2146.63177201522,2149.69586539381,2074.64220613004,2202.87364627077,2074.58883365504,2130.02379320191,2143.69185579095
"222","GRAFICA LETRILANDIA LTDA.","Santiago",1,"PORTUGAL 658",307,4,120,"SA","307_SA_4",2147.13064257286,2150.40373742448,2090.77022612284,2210.79321603592,2079.06881312117,2138.35389393332,2146.6644700774
"223","GUERRERO DITEAUX RAUL","Santiago",1,"AV. VICUNA MACKENNA 856",233,3,40,"SA","233_SA_3",2149.03629999959,2150.63516502873,2097.06321139148,2225.04560218508,2080.13343272413,2147.02028083104,2151.69872767353
"224","HEIDRICK Y STRUGGLES DE CHILE LTDA.","Providencia",2,"AV ANDRES BELLO 2777  PISO 9 OF.903",378,5,30,"PR","378_PR_5",2149.08454041471,2152.80988759955,2097.33514153916,2229.70208994495,2091.86758942593,2151.1409467886,2169.72581043212
"225","HOCHTIEF CHILENA LTDA.","Las Condes",3,"AVDA EL BOSQUE NORTE 0440 P9 OF902",234,3,60,"LC","234_LC_3",2150.2602250517,2156.02558069813,2100.50585457563,2235.23110775445,2095.20580411798,2154.43629091962,2173.84649440545
"226","HONORATO, RUSSI A CIA. LTDA.","Las Condes",3,"ROGER DE FLOR 2736 PISO 6",235,3,120,"LC","235_LC_3",2150.60554828747,2160.13922501747,2101.27565930698,2235.91292758579,2112.21030804972,2156.78422445259,2194.6010651463
"227","HOTEL CORP.OF CHILE HYATT REGENCY","Las Condes",3,"ALONSO DE CORDOVA 4601 CENTRO NEGOCIOS",379,5,60,"LC","379_LC_5",2151.23106611843,2160.29662234433,2120.20574577123,2242.70896908388,2120.12937463131,2187.1245007881,2201.97237719503
"228","HOTELES DE CHILE S.A.","Las Condes",3,"AVDA. KENNEDY 5741 P.1 RECEPCION",50,1,80,"LC","50_LC_1",2154.71160092958,2173.33848945184,2125.13517672639,2245.44340359725,2123.58894779016,2200.2693037525,2214.22190761599
