"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"115","CIA.ELECTROMETALURGICA S.A.","óu“oa",5,"AV. V.MACKENNA 1570 GCIA.. GEN",21,1,90,"NU","21_NU_1",20176.675656969,19237.7923174095,17705.132845947,17112.7404219239,16358.0065061267,16228.7791969909,14998.0916005512
"116","CIA.ELECTROMETALURGICA S.A.","óu“oa",5,"AVDA VICU?A MACKENNA 1570 G COMERCIAL",211,3,40,"NU","211_NU_3",20176.675656969,19237.7923174095,17705.132845947,17112.7404219239,16358.0065061267,16228.7791969909,14998.0916005512
"117","CIENTOCHENTA GRADOS S.A.","Providencia",2,"NVA.LOS LEONES 07 PISO 10",362,5,240,"PR","362_PR_5",20231.3797152161,19293.3740363385,17741.9011817857,17142.3884080057,16469.25448769,16239.4877750541,15029.5427488853
"118","CITIBANK N.A.","Providencia",2,"AV PROVIDENCIA 655",22,1,60,"PR","22_PR_1",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"119","CITIBANK N.A.","Las Condes",3,"AV EL  BOSQUE  0500  P. 3",213,3,90,"LC","213_LC_3",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"120","CITIBANK N.A.","Providencia",2,"PROVIDENCIA 2653  P 2",139,2,60,"PR","139_PR_2",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"121","CITIBANK N.A.","Santiago",1,"HUERFANOS 770",140,2,50,"SA","140_SA_2",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"122","CITIBANK N.A.","Santiago",1,"TEATINOS 180 P1",288,4,60,"SA","288_SA_4",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"123","CITIBANK N.A.","Providencia",2,"ORREGOLUCO 58",287,4,90,"PR","287_PR_4",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"124","CITIBANK N.A.","Santiago",1,"AHUMADA 40",212,3,40,"SA","212_SA_3",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"125","CITIBANK N.A.","Vitacura",4,"O BRIEN 2235",138,2,90,"VI","138_VI_2",20236.4176792425,19402.9293984479,17771.2601868004,17391.9930770903,16584.8909255847,16285.7494698032,15230.7020355286
"126","CLINICA ALEMANA DE SANTIAGO S.A.","Vitacura",4,"CONCILIO VATICANO 6017",363,5,10,"VI","363_VI_5",20239.2477931599,19416.7800415927,17777.1309541966,17483.8873954499,16627.1924370145,16347.4913653276,15337.5616684485
"127","CLINICA ALEMANA DE SANTIAGO S.A.","Vitacura",4,"AV.  VITACURA 5951 CENTRO COPI",214,3,25,"VI","214_VI_3",20239.2477931599,19416.7800415927,17777.1309541966,17483.8873954499,16627.1924370145,16347.4913653276,15337.5616684485
"128","CLINITEST LTDA","Providencia",2,"RICARDO LYON 1899",215,3,45,"PR","215_PR_3",20259.9320402348,19429.7888458289,17788.9474331273,17497.784098267,16634.1868201982,16512.8479606869,15366.7354603688
"129","CMPC CELULOSA S.A.","Santiago",1,"AGUSTINAS 1357  P2",23,1,90,"SA","23_SA_1",20269.5481630467,19443.4171771659,17800.8360109602,17616.3623966837,16889.706890215,16620.8088489059,15606.2654638216
"130","COASIN CHILE S.A.","Providencia",2,"AV. HOLANDA 1292",24,1,100,"PR","24_PR_1",20280.5699282154,19454.1919429803,17801.4654243223,17632.5953863376,16917.5730826309,16652.4378978407,15633.679468581
"131","COCA COLA DE CHILE S.A.","Las Condes",3,"AV. KENNEDY 5757 P.11",289,4,110,"LC","289_LC_4",20288.3723969831,19502.1283477945,17912.7509528945,17706.4241207938,17043.232103451,16794.947613926,15708.3264731337
"132","COGAN GRUPO NORTE S.A.","Providencia",2,"MARCHANT PEREIRA 1030",25,1,90,"PR","25_PR_1",20298.8989408642,19540.0562178816,18096.5877976559,17708.7771187461,17044.4132181089,16853.7598367858,15816.0728498211
"133","COLEGIO CALASANZ","óu“oa",5,"MONTENEGRO 661",141,2,150,"NU","141_NU_2",20298.9519499957,19576.4250129281,18138.5663253091,17735.0663754851,17099.4149189613,17016.1855879095,15838.9634995053
"134","COLEGIO CALASANZ","óu“oa",5,"MONTENEGRO 661",26,1,420,"NU","26_NU_1",20298.9519499957,19576.4250129281,18138.5663253091,17735.0663754851,17099.4149189613,17016.1855879095,15838.9634995053
"135","COLEGIO DEL SAGRADO CORAZON","Las Condes",3,"SANTA MAGDALENA SOFIA 277",27,1,180,"LC","27_LC_1",20300.7259596557,19600.2877470818,18247.4498973008,17836.0343934437,17122.5861399627,17095.9527426689,15961.9942997671
"136","COMANDANCIA EN JEFE","Santiago",1,"ZENTENO 45 P.5 ALA NORTE AYUDANTIA",216,3,80,"SA","216_SA_3",20303.0071362398,19619.3588384965,18320.0298550357,17863.0065357866,17162.1834016222,17100.5338670674,16110.5188798617
"137","COMERCIAL CYP S.A.","Santiago",1,"ESTADO 10 OF. 1701",28,1,30,"SA","28_SA_1",20317.6644041826,19635.9459684686,18346.9104144384,18105.7959139343,17411.6562107414,17153.5053349339,16113.9795631078
"138","COMERCIAL ECCSA S.A.","Santiago",1,"HUERFANOS 979  OF.401",29,1,60,"SA","29_SA_1",20363.4417088649,19727.8127464603,18484.1065160643,18272.8243457257,17459.5063396702,17170.9998556359,16270.0262895296
"139","COMERCIALIZADORA INTEGRAL LTDA.","Providencia",2,"ISIDORITA 143",364,5,1,"PR","364_PR_5",20364.7174368476,19732.0401700097,18518.5855177574,18296.2522500691,17478.331089444,17274.8500293262,16279.9401979219
"140","COMERCIALIZADORA S.A.","Santiago",1,"ALAMEDA 757 P5",217,3,150,"SA","217_SA_3",20396.5704855978,19798.4008453819,18542.6977967187,18319.4862319575,17522.7117690634,17323.6964962148,16689.82331591
"141","COMERCIALIZADORA S.A.","Santiago",1,"PUENTE 696 P.2 DPTO.CREDITO",365,5,120,"SA","365_SA_5",20396.5704855978,19798.4008453819,18542.6977967187,18319.4862319575,17522.7117690634,17323.6964962148,16689.82331591
"142","COMERCIALIZADORA S.A.","Santiago",1,"PUENTE 640 DEPTO CREDITO P1",290,4,60,"SA","290_SA_4",20396.5704855978,19798.4008453819,18542.6977967187,18319.4862319575,17522.7117690634,17323.6964962148,16689.82331591
"143","COMISION NACIONAL DE RIEGO","Santiago",1,"VALENTIN LETELIER 1350 P.1",291,4,150,"SA","291_SA_4",20405.9482944276,19822.3863765026,18550.2869823207,18369.2042671239,17591.2935729448,17537.2824596024,16814.259510266
"144","COMISION NACIONAL DEL MEDIO AMBIENTE","Providencia",2,"OBISPO DONOSO 6 PISO 6",292,4,50,"PR","292_PR_4",20454.7318225651,19950.196408402,18569.3539757278,18484.4690576621,17644.8246365871,17576.0464714338,17229.6529435868
"145","COMISION NACIONAL DEL MEDIO AMBIENTE","Providencia",2,"OBISPO DONOSO 6 PISO 1",293,4,165,"PR","293_PR_4",20454.7318225651,19950.196408402,18569.3539757278,18484.4690576621,17644.8246365871,17576.0464714338,17229.6529435868
"146","CONFECCIONES GERARD LTDA.","Santiago",1,"NATANIEL COX 1528",294,4,90,"SA","294_SA_4",20459.377024325,19986.9636224674,18615.4227776181,18593.0195264586,17819.1365669428,17625.616981844,17294.2542290209
"147","CONSEJO LOCAL DE DEPORTES LAS CONDES","Las Condes",3,"CERRO COLORADO 5435",142,2,50,"LC","142_LC_2",20488.5321898498,20014.9677723701,18638.4715897715,18760.6984878628,17894.9023771479,17653.8136454829,17326.7949188714
"148","CONSERVADOR DE BIENES RAICES","Santiago",1,"MORANDE 440 P.2",218,3,120,"SA","218_SA_3",20534.3186819787,20087.4868242374,18654.1928628573,18851.8957010937,17917.977111298,17680.9070895851,17359.1448362208
"149","CONSERVADOR DE BIENES RAICES","Santiago",1,"MORANDE 440 P.4",219,3,90,"SA","219_SA_3",20534.3186819787,20087.4868242374,18654.1928628573,18851.8957010937,17917.977111298,17680.9070895851,17359.1448362208
"150","CONSERVADOR DE BIENES RAICES","Santiago",1,"MORANDE 440  P.2",143,2,180,"SA","143_SA_2",20534.3186819787,20087.4868242374,18654.1928628573,18851.8957010937,17917.977111298,17680.9070895851,17359.1448362208
"151","CONSORCIO ARA-INGENDESA LTDA.","Santiago",1,"SAN ISIDRO 65",144,2,90,"SA","144_SA_2",20591.4987623389,20177.5939486881,18661.3457976135,18937.7104738206,17921.3974861061,17782.5417980567,17417.4773997555
"152","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Las Condes",3,"CALLAO 2928 PISO 1",145,2,60,"LC","145_LC_2",20601.2808499816,20180.9229951229,18749.7359221767,19036.7080390058,18088.2901094205,17785.0928580744,17478.1817944136
"153","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Santiago",1,"BANDERA 248 LC.1",146,2,165,"SA","146_SA_2",20601.2808499816,20180.9229951229,18749.7359221767,19036.7080390058,18088.2901094205,17785.0928580744,17478.1817944136
"154","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Las Condes",3,"AV.EL BOSQUE SUR 180 P6 RRHH",147,2,30,"LC","147_LC_2",20601.2808499816,20180.9229951229,18749.7359221767,19036.7080390058,18088.2901094205,17785.0928580744,17478.1817944136
"155","CONSORCIO NAC.SEG.S.A.CIA.SEG.V.","Providencia",2,"EL BOSQUE 180 PISO 6",220,3,60,"PR","220_PR_3",20601.2808499816,20180.9229951229,18749.7359221767,19036.7080390058,18088.2901094205,17785.0928580744,17478.1817944136
"156","CONSTRA.ASOC.B Y C LTDA.","Providencia",2,"LAS URBINA 53 OF 141",30,1,60,"PR","30_PR_1",20621.6248365873,20239.1410177803,18765.6235363592,19092.2063270222,18127.4846683256,17803.0165981106,17489.891400624
"157","CONSTRUCTORA CABO DE HORNOS LTDA.","Las Condes",3,"LINEO 6557",295,4,60,"LC","295_LC_4",20625.513763461,20250.8443481048,18777.0259576414,19124.7681302625,18236.3805579959,17814.5158635061,17590.3380384179
"158","CONSTRUCTORA COPEVA S. A.","Santiago",1,"PHILLIPS 84 OF 49",366,5,20,"SA","366_SA_5",20663.4022316667,20265.1600207003,18932.6101001242,19144.7817170165,18289.2606121915,17909.8970850448,17639.6450368053
"159","CORPBANCA","Santiago",1,"HUERFANOS 1072   P8",32,1,90,"SA","32_SA_1",20690.4478924466,20268.7030696874,18943.434731489,19222.5440767105,18364.7210756774,17959.9974507999,17663.591701059
"160","CORPBANCA","Santiago",1,"ALAMEDA 2206 PISO 1",31,1,90,"SA","31_SA_1",20690.4478924466,20268.7030696874,18943.434731489,19222.5440767105,18364.7210756774,17959.9974507999,17663.591701059
"161","CORPORACION DE AYUDA AL PACIENTE MENTAL","Providencia",2,"MELCHOR CONCHA 9 BARRIO BELLAVISTA",367,5,15,"PR","367_PR_5",20721.9569092797,20274.5359758556,19058.966334033,19239.942558363,18378.8949348145,18074.1012586174,17674.731987824
"162","COZ Y CIA. LTDA.","Las Condes",3,"AV LAS CONDES 11380 OF. 101",33,1,150,"LC","33_LC_1",20752.5398229506,20292.6755371221,19131.7206860945,19280.5149897386,18405.1670405981,18112.4183971866,17735.4628413638
"163","CTRO. DE ANALISIS Y ASES DE MERCADO  LTD","Providencia",2,"CARLOS ANTUNEZ  1843 DEPTO  105  BLOCK22",221,3,35,"PR","221_PR_3",20764.9053582539,20319.154808994,19205.5040951209,19352.3283660755,18495.6107699384,18168.8034380331,17752.3203642154
"164","DEFENSA CIVIL DE CHILE","Santiago",1,"VERGARA 135",296,4,90,"SA","296_SA_4",20767.982995672,20369.9981940557,19437.8003589099,19417.9516160664,18583.2492341653,18491.6136960588,17808.0415092661
"165","DELOITTE & TOUCHE","Providencia",2,"PROVIDENCIA 1760 PISO 9",222,3,60,"PR","222_PR_3",20792.3620384468,20372.2873706753,19500.682562067,19554.2411637656,18584.058792306,18581.9382472122,17953.884646848
"166","DELOITTE & TOUCHE OUTSOURCING S.A.","Providencia",2,"AV PROVIDENCIA 1760 PISO 6",223,3,40,"PR","223_PR_3",20821.1889362415,20374.9812204819,19501.9800511554,19611.6796696745,18657.2080467199,18604.5813795823,17955.713573392
"167","DELTOUR","Providencia",2,"MONSE?OR FELIX CABRERA 62",224,3,50,"PR","224_PR_3",20875.9224024429,20376.5550571818,19539.3656761482,19703.6839993063,18783.4215408667,18681.1802874714,17966.6422651421
"168","DERCO AUTOS S.A.","Las Condes",3,"AV KENNEDY 5601 1ER SUBTE",34,1,80,"LC","34_LC_1",20890.4732659083,20378.2506764107,19589.77090051,19707.9378357069,18915.8084633876,18707.6689959352,18054.0665011475
"169","DIARIO EL SUR S.A.","Santiago",1,"CATEDRAL 1009   OF 306",148,2,90,"SA","148_SA_2",20896.4671970918,20392.1189198236,19671.5440590379,19819.9919461959,18929.7739471632,18739.8913392833,18402.509572476
"170","DILACO LTDA","Providencia",2,"PEREZ VALENZUELA  N? 1138 P 4",368,5,5,"PR","368_PR_5",20896.935775758,20416.526619233,19733.911743857,19841.4676159625,18932.8123059162,18754.4001115466,18424.2095209724
"171","DIRECCION DEL TRABAJO","Santiago",1,"AGUSTINAS 1253 P.6 OF.601 PRES",369,5,120,"SA","369_SA_5",20910.8107805801,20441.6748390035,19735.7284217302,19916.514017762,19010.2060266978,18817.567882626,18463.3459474975
"172","DIRECCION DEL TRABAJO","Santiago",1,"AGUSTINAS 1253 PISO 6 OFIC. PA",370,5,140,"SA","370_SA_5",20910.8107805801,20441.6748390035,19735.7284217302,19916.514017762,19010.2060266978,18817.567882626,18463.3459474975
"173","DIRECCION NACIONAL GENDARMERIA DE CHILE","Santiago",1,"ROSAS 1274 PISO 3",225,3,80,"SA","225_SA_3",20919.7570917287,20444.1887384222,19795.84228527,19972.7749427518,19035.1977067325,18856.5892957737,18569.3245737667
"174","DIRECCION NACIONAL GENDARMERIA DE CHILE","Santiago",1,"ROSAS 1274 PISO 1 (CONTAB Y PR",35,1,105,"SA","35_SA_1",20919.7570917287,20444.1887384222,19795.84228527,19972.7749427518,19035.1977067325,18856.5892957737,18569.3245737667
"175","DISTRIBUIDORA AUTOMOTRIZ SANTIAGO S.A.","Santiago",1,"COQUIMBO 345",297,4,100,"SA","297_SA_4",20923.7834738638,20458.015236481,19825.4929553257,19983.1426163836,19046.9550196491,19008.7091523505,18693.5387888406
"176","ECHEVERRIA,IZQUIERDO,ING. Y CONST. S.A.","Las Condes",3,"BENJAMIN 2944 PISO 2.",36,1,60,"LC","36_LC_1",20943.309877249,20472.8268328108,19845.0795928721,19995.1315577859,19118.353151258,19099.7589780537,18848.4312959978
"177","ECOLAB S.A.","Providencia",2,"PEDRO DE VALDIVIA 3801",298,4,120,"PR","298_PR_4",20950.3316328776,20484.8025422838,19850.2942977173,20155.2779524252,19124.3253229198,19105.0719294386,18887.7086656898
"178","EJERCITO DE CHILE DIRECCION DE LOGISTICA","Santiago",1,"ZENTENO 45 P 8",150,2,120,"SA","150_SA_2",20952.855175873,20488.1151420726,19851.899050623,20233.8241346182,19166.8171510217,19173.5959631925,18935.7599250935
"179","EJERCITO DE CHILE DIRECCION DE LOGISTICA","Santiago",1,"ZENTENO 45 P.8 AYUDANTIA PERS.",149,2,235,"SA","149_SA_2",20952.855175873,20488.1151420726,19851.899050623,20233.8241346182,19166.8171510217,19173.5959631925,18935.7599250935
"180","EJERCITO DE SALVACION","Santiago",1,"AV.ESPAóA 46-PISO 2",151,2,120,"SA","151_SA_2",20959.577504182,20543.6339599841,19865.9993287761,20365.7375794026,19189.8453054986,19244.3525589502,19064.8700747638
"181","EMBAJADA DE ITALIA","Providencia",2,"CLEMENTE FABRES 1050",38,1,80,"PR","38_PR_1",21005.451187438,20553.6464466036,19924.4168299705,20439.5074009242,19212.6283476008,19438.6458150701,19218.2269443653
"182","EMBAJADA DE ITALIA","Providencia",2,"CLEMENTE FABRES 1050",371,5,30,"PR","371_PR_5",21005.451187438,20553.6464466036,19924.4168299705,20439.5074009242,19212.6283476008,19438.6458150701,19218.2269443653
"183","EMBAJADA DE ITALIA","Providencia",2,"CLEMENTE FABRES 1050",37,1,60,"PR","37_PR_1",21005.451187438,20553.6464466036,19924.4168299705,20439.5074009242,19212.6283476008,19438.6458150701,19218.2269443653
"184","EMBAJADA DE RUSIA","Las Condes",3,"COLON 4152",39,1,90,"LC","39_LC_1",21054.7511768602,20565.7724525598,19959.2839108004,20547.4931521882,19298.3401748079,19463.5064839976,19393.4311656318
"185","EMP.CONST.AVELLANEDA LTDA.","Providencia",2,"AV. LUIS TAYER OJEDA 0191 P 16",226,3,65,"PR","226_PR_3",21056.1064706304,20631.5405953837,19998.3888912521,20600.6933328623,19509.2806095106,19552.1554541389,19445.4139967252
"186","EMP.PARA EL DEPORTE Y LA SALUD LTDA","Las Condes",3,"AVDA LAS CONDES 13635",372,5,60,"LC","372_LC_5",21059.6133413312,20662.9387447,20075.339267514,20660.1416113171,19518.9535012482,19565.0744610405,19520.2283581054
"187","EMPRESA NACIONAL DE EXPLOSIVOS","Las Condes",3,"RENATO SANCHEZ 3859",227,3,120,"LC","227_LC_3",21090.6244864261,20682.0962323846,20120.4568001927,20680.2563024113,19564.8211919426,19566.1690818799,19615.2349242039
"188","EMPRESAS C.M.P.C. S.A.","Santiago",1,"AGUSTINAS  1343 P.9",40,1,60,"SA","40_SA_1",21141.4458857792,20698.1373973857,20175.720353297,20691.6509277309,19584.6566693396,19618.7388541341,19633.0758055035
"189","EMPRESAS JUAN YARUR S.A.C.","Santiago",1,"MONEDA 920 OF.801",228,3,100,"SA","228_SA_3",21156.6703834629,20777.1417320283,20178.0691574593,20886.0387017635,19692.1156177614,19658.9112877329,19660.5281541903
"190","ENRIQUE OSIAC BROSKY","Las Condes",3,"LAS CONDESAS 2436",152,2,1,"LC","152_LC_2",21215.6191270471,20801.3653520189,20229.2743119862,20939.3043356247,19709.497711523,19678.62441991,19742.0270472079
"191","ENTEL PCS TELECOMUNICACIONES S.A.","Las Condes",3,"AV. ANDRES BELLO 2711 PISO 14",41,1,120,"LC","41_LC_1",21220.3423509064,20812.2897054552,20246.1203663809,20966.3893195305,19763.0048340842,19751.7726688892,19775.9523189846
"192","ENTEL PCS TELECOMUNICACIONES S.A.","Providencia",2,"AV. ANDRES BELLO 2777 P11",42,1,60,"PR","42_PR_1",21220.3423509064,20812.2897054552,20246.1203663809,20966.3893195305,19763.0048340842,19751.7726688892,19775.9523189846
"193","ESCUELA MILITAR","Las Condes",3,"LOS MILITARES 4500 1 COMPA?IA",299,4,60,"LC","299_LC_4",21220.8230413134,20967.2983269791,20250.9001893776,20980.5212302681,19792.3573996964,19876.5149547502,19849.2116492707
"194","ESEDEI INGENIEROS S.A.","Santiago",1,"COYANCURA 2283 P7",43,1,207,"SA","43_SA_1",21244.1425148635,20976.5361691902,20261.7745028874,21005.7584902038,19793.3351331842,19882.3233323827,19972.1546638907
"195","ESTUDIO RAUL DE LA FUENTE M. Y CIA. LTDA","Santiago",1,"Agustinas 1235 of.32 Raul de la Fuente M",300,4,105,"SA","300_SA_4",21247.536411322,20984.2792602236,20286.0760127508,21135.3444432198,19925.2795225073,20001.5403758825,20032.6982891739
"196","EVASA S.A.","Santiago",1,"TEATINOS 449 PISO 3",301,4,75,"SA","301_SA_4",21247.8503767669,20989.0625713742,20313.5644372739,21263.9493558568,19971.6516638677,20333.2393494535,20083.5998759875
"197","EXAMENES DE LABORATORIOS S.A.","Providencia",2,"11 DE SEPTIEMBRE 1920 P4",44,1,25,"PR","44_PR_1",21259.7976335014,21058.3164916995,20323.77833764,21265.1842705813,20031.9986395415,20368.8263751113,20102.7640325035
"198","EXTRACTOS NATURALES GELYMAR S.A.","Providencia",2,"AV. STA. MARIA 2050 P.3",153,2,230,"PR","153_PR_2",21266.0895468634,21066.5784034754,20347.8043618996,21299.3319799418,20049.800091406,20438.0775207841,20120.4802247722
"199","FACH COMANDO LOGISTICO","Santiago",1,"ALAMEDA 1170 PISO 3",302,4,90,"SA","302_SA_4",21290.3379939793,21075.4039545458,20354.857603103,21376.3144928226,20112.0403153716,20471.4713444218,20183.6261047272
"200","FALABELLA Y CIA. CORREDORA DE SEGUROS LT","Santiago",1,"AHUMADA 179  PISO 9  CORREDORA",373,5,60,"SA","373_SA_5",21309.9788406128,21101.5592204708,20369.411268682,21384.2720686444,20144.9587376388,20490.6364715689,20274.6935219776
"201","FED. INTERN. DE TRAB. DE LA IND. METALUR","Providencia",2,"PROV.2019 42-B P4",154,2,170,"PR","154_PR_2",21310.2431099479,21132.4964201553,20523.924182537,21492.5107094521,20159.0027216803,20748.0065956365,20309.4724486799
"202","FED. INTERN. DE TRAB. DE LA IND. METALUR","Providencia",2,"PROV.2019 42-B P4",374,5,105,"PR","374_PR_5",21310.2431099479,21132.4964201553,20523.924182537,21492.5107094521,20159.0027216803,20748.0065956365,20309.4724486799
"203","FED.NAC.DE TRABAJADORES DEL COBRE","Santiago",1,"GENERAL BUSTAMANTE 627 PISO 2",155,2,240,"SA","155_SA_2",21358.6902317814,21211.4641644143,20525.0007563667,21508.6018570444,20242.4235417506,20778.1984940475,20424.6946515397
"204","FOCUS GROUP CONSULTORES LTDA.","Providencia",2,"ISIDORO GOYENECHEA 3621 P9 OF 902",375,5,170,"PR","375_PR_5",21379.1156636436,21246.0182282232,20548.1544285942,21528.5376949876,20248.444388115,20799.6485216676,20586.3289341582
"205","FORWARD COMPUTACION LTDA","Santiago",1,"ALAMEDA 108 L 119",229,3,60,"SA","229_SA_3",21384.6685113296,21247.6215015465,20554.7420225284,21536.0412602184,20300.5335368019,20933.7221292889,20724.2987521873
"206","FUNDACION ALCAZAR","Providencia",2,"GUARDIA VIEJA 255 OF. 704",156,2,80,"PR","156_PR_2",21388.9715335331,21375.4932961329,20556.7916297645,21539.1671752161,20366.6112188073,20967.3600942377,20867.3537262559
"207","FUNDACION EDUCACIONAL TABANCURA","Vitacura",4,"LAS HUALTATAS 10030",45,1,75,"VI","45_VI_1",21433.9908876296,21378.1030137027,20557.6375949386,21541.0817713502,20421.9996586384,21006.6382194892,20903.0821015683
"208","FUNDACION NACIONAL PARA LA SUPERACION DE","Santiago",1,"LONDRES 69",46,1,90,"SA","46_SA_1",21441.6839224507,21390.2065331575,20561.0652559238,21796.0703015511,20498.0392672646,21028.9459012815,21248.8403905337
"209","FUNDACION NACIONAL PARA LA SUPERACION DE","Santiago",1,"LONDRES   69",47,1,90,"SA","47_SA_1",21441.6839224507,21390.2065331575,20561.0652559238,21796.0703015511,20498.0392672646,21028.9459012815,21248.8403905337
"210","FUNDACION VIDA","Providencia",2,"RICCARDO MATTE PEREZ 0156",230,3,30,"PR","230_PR_3",21471.3821799288,21417.6447004403,20597.5897062994,21917.582959526,20693.5467697562,21162.8703026872,21292.7606052539
"211","GASTON FUENZALIDA PROPIEDADES LTDA","Las Condes",3,"REYES LAVALLE 3330",303,4,60,"LC","303_LC_4",21472.2622655425,21436.7868837258,20650.0630279663,21951.8204406526,20706.3724048792,21195.5744225418,21297.3129263284
"212","GOLDER ASSOCIATES S.A.","Providencia",2,"AV. 11 DE SEPTIEMBRE 2353 PISO16",376,5,75,"PR","376_PR_5",21477.451919992,21483.924360416,20656.2138294267,22007.6010919163,20716.4256061654,21209.6974147348,21406.4712832565
"213","GRAFHIKA COPY CENTER LTDA.","Vitacura",4,"ANDRES   BELLO 2879  P. 1",304,4,120,"VI","304_VI_4",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"214","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"DOMEYKO 2338",231,3,80,"SA","231_SA_3",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"215","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"TENDERINI 78",49,1,60,"SA","49_SA_1",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"216","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"TENDERINI 78",306,4,270,"SA","306_SA_4",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"217","GRAFHIKA COPY CENTER LTDA.","Providencia",2,"GUARDIA VIEJA 240",305,4,25,"PR","305_PR_4",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"218","GRAFHIKA COPY CENTER LTDA.","Providencia",2,"GUARDIA VIEJA 240",377,5,30,"PR","377_PR_5",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"219","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"STO.  DOMINGO  1862",157,2,150,"SA","157_SA_2",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"220","GRAFHIKA COPY CENTER LTDA.","Santiago",1,"DOMEYKO 2338",48,1,60,"SA","48_SA_1",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"221","GRAFHIKA COPY CENTER LTDA.","Providencia",2,"GUARDIA VIEJA 240",232,3,120,"PR","232_PR_3",21479.1015339451,21509.7607152943,20758.7771563827,22041.8552131474,20758.2431137841,21312.922840489,21449.68486365
"222","GRAFICA LETRILANDIA LTDA.","Santiago",1,"PORTUGAL 658",307,4,120,"SA","307_SA_4",21484.09321044,21516.8436511839,20920.1534033399,22121.0980741302,20803.0695880204,21396.2734559651,21479.4287092933
"223","GUERRERO DITEAUX RAUL","Santiago",1,"AV. VICUNA MACKENNA 856",233,3,40,"SA","233_SA_3",21503.1611334491,21519.1593054448,20983.1207325758,22263.7068127082,20813.722124168,21482.9889357858,21529.8012657163
"224","HEIDRICK Y STRUGGLES DE CHILE LTDA.","Providencia",2,"AV ANDRES BELLO 2777  PISO 9 OF.903",378,5,30,"PR","378_PR_5",21503.643824886,21540.9194822557,20985.8416534754,22310.2994210399,20931.133571487,21524.2201351204,21710.1794498001
"225","HOCHTIEF CHILENA LTDA.","Las Condes",3,"AVDA EL BOSQUE NORTE 0440 P9 OF902",234,3,60,"LC","234_LC_3",21515.4076727984,21573.095563625,21017.5676663543,22365.622526037,20964.5355984427,21557.193201159,21751.4108293997
"226","HONORATO, RUSSI A CIA. LTDA.","Las Condes",3,"ROGER DE FLOR 2736 PISO 6",235,3,120,"LC","235_LC_3",21518.8629616559,21614.2565047615,21025.2702980779,22372.4447847849,21134.6819045048,21580.6865191128,21959.0801362867
"227","HOTEL CORP.OF CHILE HYATT REGENCY","Las Condes",3,"ALONSO DE CORDOVA 4601 CENTRO NEGOCIOS",379,5,60,"LC","379_LC_5",21525.1218651054,21615.8314153768,21214.6838968668,22440.4456721608,21213.9197306554,21884.2699675989,22032.8371550718
"228","HOTELES DE CHILE S.A.","Las Condes",3,"AVDA. KENNEDY 5741 P.1 RECEPCION",50,1,80,"LC","50_LC_1",21559.9479408095,21746.327754547,21264.0075626071,22467.8063016438,21248.5360650037,22015.7962783509,22155.405408782
"229","HQI TRANSELEC CHILE S.A.","Providencia",2,"APOQUINDO 3721 PISO 6",158,2,85,"PR","158_PR_2",21565.0573258934,21783.288431311,21276.5202387638,22516.6958888124,21258.1376895961,22058.3698610657,22407.2133440075
