razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,penalty,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
COMERCIALIZADORA INTEGRAL LTDA.,Providencia,2,ISIDORITA 143,364,5,1,PR,364_PR_5,32400,31378,30445,29637,27954,27687,21797,17912,364_PR_5,5,2,31378,1
COMERCIALIZADORA S.A.,Santiago,1,ALAMEDA 757 P5,217,3,150,SA,217_SA_3,32400,31384,30453,29692,27976,27767,22043,18194,217_SA_3,3,1,31384,150
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 696 P.2 DPTO.CREDITO,365,5,120,SA,365_SA_5,32400,31384,30453,29692,27976,27767,22043,18194,365_SA_5,5,1,31384,120
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 640 DEPTO CREDITO P1,290,4,60,SA,290_SA_4,32400,31384,30453,29692,27976,27767,22043,18194,290_SA_4,4,1,31384,60
COMISION NACIONAL DE RIEGO,Santiago,1,VALENTIN LETELIER 1350 P.1,291,4,150,SA,291_SA_4,32400,31389,30463,29792,28099,27813,22243,19436,291_SA_4,4,1,31389,150
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 6,292,4,50,PR,292_PR_4,32400,31395,30509,29939,28103,27830,22269,19442,292_PR_4,4,2,31395,50
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 1,293,4,165,PR,293_PR_4,32400,31395,30509,29939,28103,27830,22269,19442,293_PR_4,4,2,31395,165
CONFECCIONES GERARD LTDA.,Santiago,1,NATANIEL COX 1528,294,4,90,SA,294_SA_4,32400,31413,30558,29942,28244,27862,22294,19615,294_SA_4,4,1,31413,90
CONSEJO LOCAL DE DEPORTES LAS CONDES,Las Condes,3,CERRO COLORADO 5435,142,2,50,LC,142_LC_2,32400,31420,30561,29975,28409,27948,22354,19894,142_LC_2,2,3,31420,50
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.2,218,3,120,SA,218_SA_3,32400,31453,30695,29984,28449,28007,22568,20182,218_SA_3,3,1,31453,120
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.4,219,3,90,SA,219_SA_3,32400,31453,30695,29984,28449,28007,22568,20182,219_SA_3,3,1,31453,90
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440  P.2,143,2,180,SA,143_SA_2,32400,31453,30695,29984,28449,28007,22568,20182,143_SA_2,2,1,31453,180
CONSORCIO ARA-INGENDESA LTDA.,Santiago,1,SAN ISIDRO 65,144,2,90,SA,144_SA_2,32400,31503,30785,30001,28462,28046,22676,20237,144_SA_2,2,1,31503,90
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,CALLAO 2928 PISO 1,145,2,60,LC,145_LC_2,32400,31547,30813,30011,28480,28301,22764,20333,145_LC_2,2,3,31547,60
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Santiago,1,BANDERA 248 LC.1,146,2,165,SA,146_SA_2,32400,31547,30813,30011,28480,28301,22764,20333,146_SA_2,2,1,31547,165
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,AV.EL BOSQUE SUR 180 P6 RRHH,147,2,30,LC,147_LC_2,32400,31547,30813,30011,28480,28301,22764,20333,147_LC_2,2,3,31547,30
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Providencia,2,EL BOSQUE 180 PISO 6,220,3,60,PR,220_PR_3,32400,31547,30813,30011,28480,28301,22764,20333,220_PR_3,3,2,31547,60
CONSTRA.ASOC.B Y C LTDA.,Providencia,2,LAS URBINA 53 OF 141,30,1,60,PR,30_PR_1,32400,31556,31055,30054,28659,28426,23316,20395,30_PR_1,1,2,31556,60
CONSTRUCTORA CABO DE HORNOS LTDA.,Las Condes,3,LINEO 6557,295,4,60,LC,295_LC_4,32400,31563,31061,30060,28689,28427,23348,21582,295_LC_4,4,3,31563,60
CONSTRUCTORA COPEVA S. A.,Santiago,1,PHILLIPS 84 OF 49,366,5,20,SA,366_SA_5,32400,31577,31068,30089,28952,28428,23943,22235,366_SA_5,5,1,31577,20
CORPBANCA,Santiago,1,HUERFANOS 1072   P8,32,1,90,SA,32_SA_1,32400,31584,31079,30179,28980,28549,24034,22831,32_SA_1,1,1,31584,90
CORPBANCA,Santiago,1,ALAMEDA 2206 PISO 1,31,1,90,SA,31_SA_1,32400,31584,31079,30179,28980,28549,24034,22831,31_SA_1,1,1,31584,90
CORPORACION DE AYUDA AL PACIENTE MENTAL,Providencia,2,MELCHOR CONCHA 9 BARRIO BELLAVISTA,367,5,15,PR,367_PR_5,32400,31595,31089,30357,29012,28784,24054,23405,367_PR_5,5,2,31595,15
COZ Y CIA. LTDA.,Las Condes,3,AV LAS CONDES 11380 OF. 101,33,1,150,LC,33_LC_1,32400,31600,31102,30371,29019,29018,24243,23481,33_LC_1,1,3,31600,150
CTRO. DE ANALISIS Y ASES DE MERCADO  LTD,Providencia,2,CARLOS ANTUNEZ  1843 DEPTO  105  BLOCK22,221,3,35,PR,221_PR_3,32400,31616,31128,30384,29035,29058,24582,23503,221_PR_3,3,2,31616,35
DEFENSA CIVIL DE CHILE,Santiago,1,VERGARA 135,296,4,90,SA,296_SA_4,32400,31639,31136,30388,29071,29198,24762,23761,296_SA_4,4,1,31639,90
DELOITTE & TOUCHE,Providencia,2,PROVIDENCIA 1760 PISO 9,222,3,60,PR,222_PR_3,32400,31649,31139,30439,29078,29369,24779,24343,222_PR_3,3,2,31649,60
DELOITTE & TOUCHE OUTSOURCING S.A.,Providencia,2,AV PROVIDENCIA 1760 PISO 6,223,3,40,PR,223_PR_3,32400,31655,31148,30569,29185,29374,24866,24546,223_PR_3,3,2,31655,40
DELTOUR,Providencia,2,MONSE?OR FELIX CABRERA 62,224,3,50,PR,224_PR_3,32400,31670,31193,30609,29225,29381,24963,24583,224_PR_3,3,2,31670,50
DERCO AUTOS S.A.,Las Condes,3,AV KENNEDY 5601 1ER SUBTE,34,1,80,LC,34_LC_1,32400,31681,31194,30645,29248,29391,25367,24626,34_LC_1,1,3,31681,80
DIARIO EL SUR S.A.,Santiago,1,CATEDRAL 1009   OF 306,148,2,90,SA,148_SA_2,32400,31687,31232,30672,29255,29403,25616,24663,148_SA_2,2,1,31687,90
DILACO LTDA,Providencia,2,PEREZ VALENZUELA  N? 1138 P 4,368,5,5,PR,368_PR_5,32400,31687,31244,30788,29313,29403,25627,24720,368_PR_5,5,2,31687,5
DIRECCION DEL TRABAJO,Santiago,1,AGUSTINAS 1253 P.6 OF.601 PRES,369,5,120,SA,369_SA_5,32400,31695,31369,30893,29350,29493,25976,25095,369_SA_5,5,1,31695,120
DIRECCION DEL TRABAJO,Santiago,1,AGUSTINAS 1253 PISO 6 OFIC. PA,370,5,140,SA,370_SA_5,32400,31695,31369,30893,29350,29493,25976,25095,370_SA_5,5,1,31695,140
DIRECCION NACIONAL GENDARMERIA DE CHILE,Santiago,1,ROSAS 1274 PISO 3,225,3,80,SA,225_SA_3,32400,31697,31407,30896,29362,29707,26274,25235,225_SA_3,3,1,31697,80
DIRECCION NACIONAL GENDARMERIA DE CHILE,Santiago,1,ROSAS 1274 PISO 1 (CONTAB Y PR,35,1,105,SA,35_SA_1,32400,31697,31407,30896,29362,29707,26274,25235,35_SA_1,1,1,31697,105
DISTRIBUIDORA AUTOMOTRIZ SANTIAGO S.A.,Santiago,1,COQUIMBO 345,297,4,100,SA,297_SA_4,32400,31718,31411,30944,29379,29736,26501,25434,297_SA_4,4,1,31718,100
"ECHEVERRIA,IZQUIERDO,ING. Y CONST. S.A.",Las Condes,3,BENJAMIN 2944 PISO 2.,36,1,60,LC,36_LC_1,32400,31725,31467,30968,29381,29737,27087,25624,36_LC_1,1,3,31725,60
ECOLAB S.A.,Providencia,2,PEDRO DE VALDIVIA 3801,298,4,120,PR,298_PR_4,32400,31856,31485,31079,29468,29754,27112,25691,298_PR_4,4,2,31856,120
EJERCITO DE CHILE DIRECCION DE LOGISTICA,Santiago,1,ZENTENO 45 P 8,150,2,120,SA,150_SA_2,32400,31882,31505,31275,29498,30125,27159,25692,150_SA_2,2,1,31882,120
EJERCITO DE CHILE DIRECCION DE LOGISTICA,Santiago,1,ZENTENO 45 P.8 AYUDANTIA PERS.,149,2,235,SA,149_SA_2,32400,31882,31505,31275,29498,30125,27159,25692,149_SA_2,2,1,31882,235
EJERCITO DE SALVACION,Santiago,1,AV.ESPA—A 46-PISO 2,151,2,120,SA,151_SA_2,32400,31898,31535,31334,29872,30193,27174,25793,151_SA_2,2,1,31898,120
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,38,1,80,PR,38_PR_1,32400,31915,31579,31366,29887,30296,27433,25925,38_PR_1,1,2,31915,80
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,371,5,30,PR,371_PR_5,32400,31915,31579,31366,29887,30296,27433,25925,371_PR_5,5,2,31915,30
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,37,1,60,PR,37_PR_1,32400,31915,31579,31366,29887,30296,27433,25925,37_PR_1,1,2,31915,60
EMBAJADA DE RUSIA,Las Condes,3,COLON 4152,39,1,90,LC,39_LC_1,32400,31935,31590,31370,29887,30372,27963,25935,39_LC_1,1,3,31935,90
EMP.CONST.AVELLANEDA LTDA.,Providencia,2,AV. LUIS TAYER OJEDA 0191 P 16,226,3,65,PR,226_PR_3,32400,31951,31606,31407,29915,30594,28460,27014,226_PR_3,3,2,31951,65
EMP.PARA EL DEPORTE Y LA SALUD LTDA,Las Condes,3,AVDA LAS CONDES 13635,372,5,60,LC,372_LC_5,32400,31974,31619,31445,29926,30622,28540,27135,372_LC_5,5,3,31974,60
EMPRESA NACIONAL DE EXPLOSIVOS,Las Condes,3,RENATO SANCHEZ 3859,227,3,120,LC,227_LC_3,32400,31986,31624,31446,29944,30692,28605,27375,227_LC_3,3,3,31986,120
EMPRESAS C.M.P.C. S.A.,Santiago,1,AGUSTINAS  1343 P.9,40,1,60,SA,40_SA_1,32400,31988,31789,31565,29969,30837,28661,27684,40_SA_1,1,1,31988,60
EMPRESAS JUAN YARUR S.A.C.,Santiago,1,MONEDA 920 OF.801,228,3,100,SA,228_SA_3,32400,32017,31879,31584,29983,31004,28972,27875,228_SA_3,3,1,32017,100
ENRIQUE OSIAC BROSKY,Las Condes,3,LAS CONDESAS 2436,152,2,1,LC,152_LC_2,32400,32032,32005,31614,30003,31036,29165,28042,152_LC_2,2,3,32032,1
ENTEL PCS TELECOMUNICACIONES S.A.,Las Condes,3,AV. ANDRES BELLO 2711 PISO 14,41,1,120,LC,41_LC_1,32400,32036,32081,31617,30086,31094,29659,28154,41_LC_1,1,3,32036,120
ENTEL PCS TELECOMUNICACIONES S.A.,Providencia,2,AV. ANDRES BELLO 2777 P11,42,1,60,PR,42_PR_1,32400,32036,32081,31617,30086,31094,29659,28154,42_PR_1,1,2,32036,60
ESCUELA MILITAR,Las Condes,3,LOS MILITARES 4500 1 COMPA?IA,299,4,60,LC,299_LC_4,32400,32044,32086,31645,30093,31126,29740,28239,299_LC_4,4,3,32044,60
ESEDEI INGENIEROS S.A.,Santiago,1,COYANCURA 2283 P7,43,1,207,SA,43_SA_1,32400,32070,32138,31692,30225,31349,29773,28321,43_SA_1,1,1,32070,207
ESTUDIO RAUL DE LA FUENTE M. Y CIA. LTDA,Santiago,1,Agustinas 1235 of.32 Raul de la Fuente M,300,4,105,SA,300_SA_4,32400,32080,32171,31699,30243,31421,30116,28956,300_SA_4,4,1,32080,105
EVASA S.A.,Santiago,1,TEATINOS 449 PISO 3,301,4,75,SA,301_SA_4,32400,32163,32201,31720,30252,31453,30129,28977,301_SA_4,4,1,32163,75
EXAMENES DE LABORATORIOS S.A.,Providencia,2,11 DE SEPTIEMBRE 1920 P4,44,1,25,PR,44_PR_1,32400,32191,32227,31750,30453,31517,30130,29292,44_PR_1,1,2,32191,25
EXTRACTOS NATURALES GELYMAR S.A.,Providencia,2,AV. STA. MARIA 2050 P.3,153,2,230,PR,153_PR_2,32400,32191,32357,31763,30615,31677,30645,29381,153_PR_2,2,2,32191,230
FACH COMANDO LOGISTICO,Santiago,1,ALAMEDA 1170 PISO 3,302,4,90,SA,302_SA_4,32400,32192,32362,31784,30687,31695,30767,29448,302_SA_4,4,1,32192,90
FALABELLA Y CIA. CORREDORA DE SEGUROS LT,Santiago,1,AHUMADA 179  PISO 9  CORREDORA,373,5,60,SA,373_SA_5,32400,32193,32398,31914,30719,31731,30777,29888,373_SA_5,5,1,32193,60
FED. INTERN. DE TRAB. DE LA IND. METALUR,Providencia,2,PROV.2019 42-B P4,154,2,170,PR,154_PR_2,32400,32240,32423,31969,30796,31902,30947,30236,154_PR_2,2,2,32240,170
FED. INTERN. DE TRAB. DE LA IND. METALUR,Providencia,2,PROV.2019 42-B P4,374,5,105,PR,374_PR_5,32400,32240,32423,31969,30796,31902,30947,30236,374_PR_5,5,2,32240,105
FED.NAC.DE TRABAJADORES DEL COBRE,Santiago,1,GENERAL BUSTAMANTE 627 PISO 2,155,2,240,SA,155_SA_2,32400,32242,32468,32014,30841,31924,31041,30332,155_SA_2,2,1,32242,240
FOCUS GROUP CONSULTORES LTDA.,Providencia,2,ISIDORO GOYENECHEA 3621 P9 OF 902,375,5,170,PR,375_PR_5,32400,32261,32481,32061,31220,32016,31546,30713,375_PR_5,5,2,32261,170
FORWARD COMPUTACION LTDA,Santiago,1,ALAMEDA 108 L 119,229,3,60,SA,229_SA_3,32400,32267,32557,32136,31326,32031,31863,30809,229_SA_3,3,1,32267,60
FUNDACION ALCAZAR,Providencia,2,GUARDIA VIEJA 255 OF. 704,156,2,80,PR,156_PR_2,32400,32268,32590,32156,31388,32066,31963,31075,156_PR_2,2,2,32268,80
FUNDACION EDUCACIONAL TABANCURA,Vitacura,4,LAS HUALTATAS 10030,45,1,75,VI,45_VI_1,32400,32306,32599,32172,31543,32098,31981,31360,45_VI_1,1,4,32306,75
FUNDACION NACIONAL PARA LA SUPERACION DE,Santiago,1,LONDRES 69,46,1,90,SA,46_SA_1,32400,32309,32678,32236,31609,32252,32021,31998,46_SA_1,1,1,32309,90
FUNDACION NACIONAL PARA LA SUPERACION DE,Santiago,1,LONDRES   69,47,1,90,SA,47_SA_1,32400,32309,32678,32236,31609,32252,32021,31998,47_SA_1,1,1,32309,90
FUNDACION VIDA,Providencia,2,RICCARDO MATTE PEREZ 0156,230,3,30,PR,230_PR_3,32400,32312,32711,32262,31682,32473,32173,32523,230_PR_3,3,2,32312,30
GASTON FUENZALIDA PROPIEDADES LTDA,Las Condes,3,REYES LAVALLE 3330,303,4,60,LC,303_LC_4,32400,32312,32716,32318,31843,32672,32241,32677,303_LC_4,4,3,32312,60
GOLDER ASSOCIATES S.A.,Providencia,2,AV. 11 DE SEPTIEMBRE 2353 PISO16,376,5,75,PR,376_PR_5,32400,32339,32738,32330,31862,32815,32453,33013,376_PR_5,5,2,32339,75
GRAFHIKA COPY CENTER LTDA.,Vitacura,4,ANDRES   BELLO 2879  P. 1,304,4,120,VI,304_VI_4,32400,32352,32772,32411,31902,32847,32476,33323,304_VI_4,4,4,32352,120
GRAFHIKA COPY CENTER LTDA.,Santiago,1,DOMEYKO 2338,231,3,80,SA,231_SA_3,32400,32352,32772,32411,31902,32847,32476,33323,231_SA_3,3,1,32352,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,TENDERINI 78,49,1,60,SA,49_SA_1,32400,32352,32772,32411,31902,32847,32476,33323,49_SA_1,1,1,32352,60
GRAFHIKA COPY CENTER LTDA.,Santiago,1,TENDERINI 78,306,4,270,SA,306_SA_4,32400,32352,32772,32411,31902,32847,32476,33323,306_SA_4,4,1,32352,270
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,305,4,25,PR,305_PR_4,32400,32352,32772,32411,31902,32847,32476,33323,305_PR_4,4,2,32352,25
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,377,5,30,PR,377_PR_5,32400,32352,32772,32411,31902,32847,32476,33323,377_PR_5,5,2,32352,30
GRAFHIKA COPY CENTER LTDA.,Santiago,1,STO.  DOMINGO  1862,157,2,150,SA,157_SA_2,32400,32352,32772,32411,31902,32847,32476,33323,157_SA_2,2,1,32352,150
GRAFHIKA COPY CENTER LTDA.,Santiago,1,DOMEYKO 2338,48,1,60,SA,48_SA_1,32400,32352,32772,32411,31902,32847,32476,33323,48_SA_1,1,1,32352,60
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,232,3,120,PR,232_PR_3,32400,32352,32772,32411,31902,32847,32476,33323,232_PR_3,3,2,32352,120
GRAFICA LETRILANDIA LTDA.,Santiago,1,PORTUGAL 658,307,4,120,SA,307_SA_4,32400,32359,32780,32417,31921,32968,32484,33987,307_SA_4,4,1,32359,120
GUERRERO DITEAUX RAUL,Santiago,1,AV. VICUNA MACKENNA 856,233,3,40,SA,233_SA_3,32400,32378,32823,32439,31973,32986,32616,34382,233_SA_3,3,1,32378,40
HEIDRICK Y STRUGGLES DE CHILE LTDA.,Providencia,2,AV ANDRES BELLO 2777  PISO 9 OF.903,378,5,30,PR,378_PR_5,32400,32379,32895,32451,31992,33035,32856,34403,378_PR_5,5,2,32379,30
HOCHTIEF CHILENA LTDA.,Las Condes,3,AVDA EL BOSQUE NORTE 0440 P9 OF902,234,3,60,LC,234_LC_3,32400,32382,32904,32524,32009,33057,32937,34471,234_LC_3,3,3,32382,60
"HONORATO, RUSSI A CIA. LTDA.",Las Condes,3,ROGER DE FLOR 2736 PISO 6,235,3,120,LC,235_LC_3,32400,32395,32939,32585,32059,33126,33004,34540,235_LC_3,3,3,32395,120
HOTEL CORP.OF CHILE HYATT REGENCY,Las Condes,3,ALONSO DE CORDOVA 4601 CENTRO NEGOCIOS,379,5,60,LC,379_LC_5,32400,32414,33014,32615,32281,33200,33221,35007,379_LC_5,5,3,32414,60
HOTELES DE CHILE S.A.,Las Condes,3,AVDA. KENNEDY 5741 P.1 RECEPCION,50,1,80,LC,50_LC_1,32400,32428,33041,32635,32291,33349,33428,35244,50_LC_1,1,3,32428,80
HQI TRANSELEC CHILE S.A.,Providencia,2,APOQUINDO 3721 PISO 6,158,2,85,PR,158_PR_2,32400,32436,33086,32709,32304,33368,33551,35937,158_PR_2,2,2,32436,85
I. MUNICIPALIDAD DE VITACURA,Vitacura,4,SANCHO DE LA HOZ 3470 DIREC.DE OPERACI,236,3,90,VI,236_VI_3,32400,32441,33125,32762,32330,33381,33665,36005,236_VI_3,3,4,32441,90
I.MUNICIPALIDAD DE PROVIDENCIA,Providencia,2,P DE VALDIVIA 963  DEPTO CATASTRO,308,4,30,PR,308_PR_4,32400,32445,33134,32905,32394,33407,33932,36322,308_PR_4,4,2,32445,30
I.MUNICIPALIDAD DE PROVIDENCIA,Providencia,2,PEDRO DE VALDIVIA 963.DIREC.PROTEC CIVIL,237,3,70,PR,237_PR_3,32400,32445,33134,32905,32394,33407,33932,36322,237_PR_3,3,2,32445,70
I.MUNICIPALIDAD DE SANTIAGO,Santiago,1,BALMACEDA  1114  3P,159,2,55,SA,159_SA_2,32400,32464,33147,32911,32427,33564,34752,36408,159_SA_2,2,1,32464,55
I.MUNICIPALIDAD DE SANTIAGO,Santiago,1,STO DOMINGO 916 PISO 7 OF.703 CENT.FOTO,51,1,90,SA,51_SA_1,32400,32464,33147,32911,32427,33564,34752,36408,51_SA_1,1,1,32464,90
IMAX S. A.,Providencia,2,PADRE MARIANO 277 P 3,160,2,60,PR,160_PR_2,32400,32510,33163,32951,32444,33682,35197,36437,160_PR_2,2,2,32510,60
IMPRESORA Y COMERCIAL TIEMPO FUTURO SA,Providencia,2,ALMIRANTE PASTENE 259,309,4,60,PR,309_PR_4,32400,32511,33186,32990,32489,33775,35216,37056,309_PR_4,4,2,32511,60
IMPRESORA Y COMERCIAL TIEMPO FUTURO SA,Providencia,2,ALMIRANTE PASTENE 259,310,4,120,PR,310_PR_4,32400,32511,33186,32990,32489,33775,35216,37056,310_PR_4,4,2,32511,120
INACAP,Las Condes,3,AV. APOQUINDO 7282 P-3 SALA DE PROF.,161,2,180,LC,161_LC_2,32400,32524,33204,33090,32597,34068,35263,37761,161_LC_2,2,3,32524,180
INDUSTRIA TEXTIL MONARCH S.A.,Santiago,1,VICUNA MACKENNA 1215 PISO 3,238,3,60,SA,238_SA_3,32400,32546,33248,33129,32599,34294,36003,37789,238_SA_3,3,1,32546,60
ING SALUD ISAPRE,Santiago,1,MIRAFLORES 222 E/P,162,2,1,SA,162_SA_2,32400,32560,33270,33159,32642,34329,36081,38529,162_SA_2,2,1,32560,1
ING SALUD S.A.,Santiago,1,MORANDE 325 SUBTERRANEO,239,3,180,SA,239_SA_3,32400,32573,33280,33198,32823,34375,36176,38802,239_SA_3,3,1,32573,180
ING SEGUROS DE VIDA S.A.,Providencia,2,COYANCURA 2283,52,1,30,PR,52_PR_1,32400,32586,33295,33307,33164,34404,36186,38830,52_PR_1,1,2,32586,30
ING SEGUROS DE VIDA S.A.,Providencia,2,COYANCURA 2283,240,3,60,PR,240_PR_3,32400,32586,33295,33307,33164,34404,36186,38830,240_PR_3,3,2,32586,60
INGENIERIA ELECTRICA VOLTA LTDA.,—uÒoa,5,JOSE MANUEL INFANTE 2670,53,1,90,NU,53_NU_1,32400,32612,33302,33375,33185,34429,36302,38996,53_NU_1,1,5,32612,90
INGENIERIA Y CONST. KODAMA LTDA.,Providencia,2,AVDA ELIODORO YA?EZ 1198,311,4,60,PR,311_PR_4,32400,32670,33348,33417,33242,34478,37010,39463,311_PR_4,4,2,32670,60
INMOBIL. E INVERSIONES RUCA S.A.,Santiago,1,MAC IVER 225 OF 302,241,3,20,SA,241_SA_3,32400,32672,33353,33426,33283,34547,37344,39744,241_SA_3,3,1,32672,20
INMOBILIARIA NORTE VERDE S.A.,Las Condes,3,ENRIQUE FOSTER SUR 20 PISO 14,55,1,60,LC,55_LC_1,32400,32695,33365,33452,33320,34549,37463,41677,55_LC_1,1,3,32695,60
INMOBILIARIA NORTE VERDE S.A.,Las Condes,3,ENRIQUE FOSTER SUR 20 PISO 14,54,1,60,LC,54_LC_1,32400,32695,33365,33452,33320,34549,37463,41677,54_LC_1,1,3,32695,60
INSTITUTO DE ESTUDIOS GRAFICOS DE CHILE,Providencia,2,CANADA 253  OF A  2257706,312,4,50,PR,312_PR_4,32400,32732,33371,33497,33453,34614,37599,41678,312_PR_4,4,2,32732,50
INSTITUTO HEBREO S.A.,Las Condes,3,AV.LAS CONDES 13450,56,1,150,LC,56_LC_1,32400,32735,33441,33562,33490,34624,37664,41924,56_LC_1,1,3,32735,150
INSTITUTO NACIONAL DE DEPORTES,Providencia,2,FIDEL OTEIZA 1956 P.3,313,4,50,PR,313_PR_4,32400,32752,33476,33721,33637,34770,37837,42915,313_PR_4,4,2,32752,50
INSTITUTO NACIONAL DE DEPORTES,Providencia,2,FIDEL OTEIZA 1956  P.8,163,2,120,PR,163_PR_2,32400,32752,33476,33721,33637,34770,37837,42915,163_PR_2,2,2,32752,120
INTERPLUS S.A.,—uÒoa,5,JOSE P.ALESSANDRI 1800,164,2,90,NU,164_NU_2,32400,32753,33498,33722,33721,34838,37962,43029,164_NU_2,2,5,32753,90
INVERSIONES Y SERVICIOS S.A.,Santiago,1,HUERFANOS 979 P 7,314,4,20,SA,314_SA_4,32400,32756,33530,33729,33729,34946,37990,43748,314_SA_4,4,1,32756,20
ISAPRE COLMENA GOLDEN CROSS S.A.,Las Condes,3,APOQUINDO 5009 DPTO DE OPERACIONES,380,5,234,LC,380_LC_5,32400,32762,33551,33739,33856,34961,38092,44104,380_LC_5,5,3,32762,234
ISAPRE CONSALUD S.A.,Santiago,1,ALAMEDA 1511 P.7,59,1,60,SA,59_SA_1,32400,32762,33552,33894,33871,34975,38297,44220,59_SA_1,1,1,32762,60
ISAPRE CONSALUD S.A.,Santiago,1,SAN MARTIN 30 PISO 1,57,1,60,SA,57_SA_1,32400,32762,33552,33894,33871,34975,38297,44220,57_SA_1,1,1,32762,60
ISAPRE CONSALUD S.A.,Santiago,1,ALAMEDA 1511 P.7,58,1,60,SA,58_SA_1,32400,32762,33552,33894,33871,34975,38297,44220,58_SA_1,1,1,32762,60
ISAPRE PROMEPART,Santiago,1,MERCED 280 PISO 3,165,2,120,SA,165_SA_2,32400,32860,33564,33919,33927,35016,38706,44770,165_SA_2,2,1,32860,120
ISE LAS AMERICAS CIA DE SEG DE VIDA S.A.,Las Condes,3,AV. EL BOSQUE NORTE 0177 OF. 602,60,1,90,LC,60_LC_1,32400,32874,33608,33929,33948,35021,38759,44965,60_LC_1,1,3,32874,90
JOHNSON`S S.A.,Santiago,1,—UBLE   1055  P. 2,167,2,60,SA,167_SA_2,32400,32889,33631,33977,33966,35064,38892,44989,167_SA_2,2,1,32889,60
JOHNSON`S S.A.,Santiago,1,AGUSTINAS 978,64,1,10,SA,64_SA_1,32400,32889,33631,33977,33966,35064,38892,44989,64_SA_1,1,1,32889,10
JOHNSON`S S.A.,Santiago,1,AHUMADA 55 PISO 2,62,1,150,SA,62_SA_1,32400,32889,33631,33977,33966,35064,38892,44989,62_SA_1,1,1,32889,150
JOHNSON`S S.A.,Santiago,1,NUBLE 1034 PISO 2,61,1,30,SA,61_SA_1,32400,32889,33631,33977,33966,35064,38892,44989,61_SA_1,1,1,32889,30
JOHNSON`S S.A.,Santiago,1,AVDA. KENNEDY 5413 L-123,166,2,40,SA,166_SA_2,32400,32889,33631,33977,33966,35064,38892,44989,166_SA_2,2,1,32889,40
JOHNSON`S S.A.,Santiago,1,—UBLE 1008 REC HUMANOS,65,1,30,SA,65_SA_1,32400,32889,33631,33977,33966,35064,38892,44989,65_SA_1,1,1,32889,30
JOHNSON`S S.A.,Santiago,1,MATIAS COUSI—O  64 E P OF 1,63,1,75,SA,63_SA_1,32400,32889,33631,33977,33966,35064,38892,44989,63_SA_1,1,1,32889,75
JOHNSON`S S.A.,Santiago,1,SAN DIEGO 1856 PISO 2 AUDITORIA,381,5,60,SA,381_SA_5,32400,32889,33631,33977,33966,35064,38892,44989,381_SA_5,5,1,32889,60
KOCH INGENIERIA (CHILE) LTDA.,Las Condes,3,EL BOSQUE NORTE 0440 OF.1202,242,3,40,LC,242_LC_3,32400,32901,33645,33992,34062,35265,39185,45370,242_LC_3,3,3,32901,40
KPMG JERIA Y ASOC. AUDIT. CONSULT. LTDA.,Santiago,1,MONJITAS 527 PISO 13 OF 1304,315,4,180,SA,315_SA_4,32400,32938,33698,34001,34119,35339,39469,45511,315_SA_4,4,1,32938,180
LABORATORIO CHILE S.A.,—uÒoa,5,AV MARATON 1315,316,4,60,NU,316_NU_4,32400,32943,33723,34036,34143,35380,39616,45772,316_NU_4,4,5,32943,60
LABORATORIO RECALCINE,Providencia,2,PEDRO DE VALDIVIA 428,66,1,75,PR,66_PR_1,32400,32999,33749,34111,34147,35537,39697,45839,66_PR_1,1,2,32999,75
LABORATORIO RIDER S.A.,Santiago,1,PLACER 1354  PISO 2,168,2,60,SA,168_SA_2,32400,33024,33759,34121,34238,35726,39993,46034,168_SA_2,2,1,33024,60
LAS AGUILAS LTDA.,Santiago,1,BANDERA 84 P2 OF 215,67,1,60,SA,67_SA_1,32400,33040,33832,34128,34303,35839,40068,46121,67_SA_1,1,1,33040,60
LE MANS ISE CIA.DE SEG.GENERALES S.A.,Las Condes,3,ENCOMENDEROS 138,317,4,45,LC,317_LC_4,32400,33052,33833,34142,34319,35853,40095,46132,317_LC_4,4,3,33052,45
