razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime.x,COD,Name,serviceTime.y,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
COMERCIALIZADORA S.A.,Santiago,1,ALAMEDA 757 P5,217,3,150,SA,217_SA_3,60,20884,20345,20326,19174,19089,14690,10553,217_SA_3,3,1,20884,60
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 696 P.2 DPTO.CREDITO,365,5,120,SA,365_SA_5,60,20884,20345,20326,19174,19089,14690,10553,365_SA_5,5,1,20884,60
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 640 DEPTO CREDITO P1,290,4,60,SA,290_SA_4,60,20884,20345,20326,19174,19089,14690,10553,290_SA_4,4,1,20884,60
COMISION NACIONAL DE RIEGO,Santiago,1,VALENTIN LETELIER 1350 P.1,291,4,150,SA,291_SA_4,60,20893,20353,20335,19241,19144,14819,10836,291_SA_4,4,1,20893,60
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 6,292,4,50,PR,292_PR_4,60,20895,20358,20369,19343,19145,14899,11261,292_PR_4,4,2,20895,60
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 1,293,4,165,PR,293_PR_4,60,20895,20358,20369,19343,19145,14899,11261,293_PR_4,4,2,20895,60
CONFECCIONES GERARD LTDA.,Santiago,1,NATANIEL COX 1528,294,4,90,SA,294_SA_4,60,20904,20428,20401,19401,19157,14918,11288,294_SA_4,4,1,20904,60
CONSEJO LOCAL DE DEPORTES LAS CONDES,Las Condes,3,CERRO COLORADO 5435,142,2,50,LC,142_LC_2,60,20918,20440,20432,19410,19164,15033,11329,142_LC_2,2,3,20918,60
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.2,218,3,120,SA,218_SA_3,60,20940,20440,20436,19426,19271,15111,11360,218_SA_3,3,1,20940,60
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.4,219,3,90,SA,219_SA_3,60,20940,20440,20436,19426,19271,15111,11360,219_SA_3,3,1,20940,60
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440  P.2,143,2,180,SA,143_SA_2,60,20940,20440,20436,19426,19271,15111,11360,143_SA_2,2,1,20940,60
CONSORCIO ARA-INGENDESA LTDA.,Santiago,1,SAN ISIDRO 65,144,2,90,SA,144_SA_2,60,20953,20489,20496,19433,19298,15293,12740,144_SA_2,2,1,20953,60
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,CALLAO 2928 PISO 1,145,2,60,LC,145_LC_2,60,20972,20511,20505,19484,19371,15302,13246,145_LC_2,2,3,20972,60
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Santiago,1,BANDERA 248 LC.1,146,2,165,SA,146_SA_2,60,20972,20511,20505,19484,19371,15302,13246,146_SA_2,2,1,20972,60
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,AV.EL BOSQUE SUR 180 P6 RRHH,147,2,30,LC,147_LC_2,60,20972,20511,20505,19484,19371,15302,13246,147_LC_2,2,3,20972,60
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Providencia,2,EL BOSQUE 180 PISO 6,220,3,60,PR,220_PR_3,60,20972,20511,20505,19484,19371,15302,13246,220_PR_3,3,2,20972,60
CONSTRA.ASOC.B Y C LTDA.,Providencia,2,LAS URBINA 53 OF 141,30,1,60,PR,30_PR_1,60,20974,20520,20517,19575,19570,15464,13283,30_PR_1,1,2,20974,60
CONSTRUCTORA CABO DE HORNOS LTDA.,Las Condes,3,LINEO 6557,295,4,60,LC,295_LC_4,60,21004,20533,20530,19587,19623,15522,13391,295_LC_4,4,3,21004,60
CONSTRUCTORA COPEVA S. A.,Santiago,1,PHILLIPS 84 OF 49,366,5,20,SA,366_SA_5,60,21005,20556,20584,19615,19691,15914,13897,366_SA_5,5,1,21005,60
CORPBANCA,Santiago,1,HUERFANOS 1072   P8,32,1,90,SA,32_SA_1,60,21031,20557,20589,19629,19827,16114,14081,32_SA_1,1,1,21031,60
CORPBANCA,Santiago,1,ALAMEDA 2206 PISO 1,31,1,90,SA,31_SA_1,60,21031,20557,20589,19629,19827,16114,14081,31_SA_1,1,1,21031,60
CORPORACION DE AYUDA AL PACIENTE MENTAL,Providencia,2,MELCHOR CONCHA 9 BARRIO BELLAVISTA,367,5,15,PR,367_PR_5,60,21032,20565,20646,19635,19886,16127,14088,367_PR_5,5,2,21032,60
COZ Y CIA. LTDA.,Las Condes,3,AV LAS CONDES 11380 OF. 101,33,1,150,LC,33_LC_1,60,21046,20593,20653,19655,20239,16131,14156,33_LC_1,1,3,21046,60
CTRO. DE ANALISIS Y ASES DE MERCADO  LTD,Providencia,2,CARLOS ANTUNEZ  1843 DEPTO  105  BLOCK22,221,3,35,PR,221_PR_3,60,21053,20628,20674,19659,20322,16323,14304,221_PR_3,3,2,21053,60
DEFENSA CIVIL DE CHILE,Santiago,1,VERGARA 135,296,4,90,SA,296_SA_4,60,21054,20637,20676,19720,20453,16417,14322,296_SA_4,4,1,21054,60
DELOITTE & TOUCHE,Providencia,2,PROVIDENCIA 1760 PISO 9,222,3,60,PR,222_PR_3,60,21063,20649,20709,19785,20593,16461,14334,222_PR_3,3,2,21063,60
DELOITTE & TOUCHE OUTSOURCING S.A.,Providencia,2,AV PROVIDENCIA 1760 PISO 6,223,3,40,PR,223_PR_3,60,21074,20668,20710,19836,20600,16559,14565,223_PR_3,3,2,21074,60
DELTOUR,Providencia,2,MONSE?OR FELIX CABRERA 62,224,3,50,PR,224_PR_3,60,21090,20688,20720,19844,20670,16575,14591,224_PR_3,3,2,21090,60
DERCO AUTOS S.A.,Las Condes,3,AV KENNEDY 5601 1ER SUBTE,34,1,80,LC,34_LC_1,60,21098,20689,20753,19883,20718,16598,14598,34_LC_1,1,3,21098,60
DIARIO EL SUR S.A.,Santiago,1,CATEDRAL 1009   OF 306,148,2,90,SA,148_SA_2,60,21100,20717,20880,19913,20721,16945,15590,148_SA_2,2,1,21100,60
DILACO LTDA,Providencia,2,PEREZ VALENZUELA  N? 1138 P 4,368,5,5,PR,368_PR_5,60,21107,20738,20885,19961,20759,17199,15626,368_PR_5,5,2,21107,60
DIRECCION DEL TRABAJO,Santiago,1,AGUSTINAS 1253 P.6 OF.601 PRES,369,5,120,SA,369_SA_5,60,21139,20738,20930,20016,20797,17292,16272,369_SA_5,5,1,21139,60
DIRECCION DEL TRABAJO,Santiago,1,AGUSTINAS 1253 PISO 6 OFIC. PA,370,5,140,SA,370_SA_5,60,21139,20738,20930,20016,20797,17292,16272,370_SA_5,5,1,21139,60
DIRECCION NACIONAL GENDARMERIA DE CHILE,Santiago,1,ROSAS 1274 PISO 3,225,3,80,SA,225_SA_3,60,21151,20742,20949,20021,20801,17552,16771,225_SA_3,3,1,21151,60
DIRECCION NACIONAL GENDARMERIA DE CHILE,Santiago,1,ROSAS 1274 PISO 1 (CONTAB Y PR,35,1,105,SA,35_SA_1,60,21151,20742,20949,20021,20801,17552,16771,35_SA_1,1,1,21151,60
DISTRIBUIDORA AUTOMOTRIZ SANTIAGO S.A.,Santiago,1,COQUIMBO 345,297,4,100,SA,297_SA_4,60,21162,20784,20962,20111,20939,17670,17008,297_SA_4,4,1,21162,60
"ECHEVERRIA,IZQUIERDO,ING. Y CONST. S.A.",Las Condes,3,BENJAMIN 2944 PISO 2.,36,1,60,LC,36_LC_1,61,21170,20787,20991,20124,21006,17702,17102,36_LC_1,1,3,21170,61
ECOLAB S.A.,Providencia,2,PEDRO DE VALDIVIA 3801,298,4,120,PR,298_PR_4,65,21179,20790,20992,20202,21020,17755,17572,298_PR_4,4,2,21179,65
EJERCITO DE CHILE DIRECCION DE LOGISTICA,Santiago,1,ZENTENO 45 P 8,150,2,120,SA,150_SA_2,65,21217,20802,21012,20205,21085,17900,17865,150_SA_2,2,1,21217,65
EJERCITO DE CHILE DIRECCION DE LOGISTICA,Santiago,1,ZENTENO 45 P.8 AYUDANTIA PERS.,149,2,235,SA,149_SA_2,65,21217,20802,21012,20205,21085,17900,17865,149_SA_2,2,1,21217,65
EJERCITO DE SALVACION,Santiago,1,AV.ESPA—A 46-PISO 2,151,2,120,SA,151_SA_2,65,21240,20830,21056,20250,21096,17945,18102,151_SA_2,2,1,21240,65
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,38,1,80,PR,38_PR_1,65,21267,20843,21062,20250,21186,18142,18173,38_PR_1,1,2,21267,65
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,371,5,30,PR,371_PR_5,65,21267,20843,21062,20250,21186,18142,18173,371_PR_5,5,2,21267,65
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,37,1,60,PR,37_PR_1,65,21267,20843,21062,20250,21186,18142,18173,37_PR_1,1,2,21267,65
EMBAJADA DE RUSIA,Las Condes,3,COLON 4152,39,1,90,LC,39_LC_1,65,21271,20851,21087,20364,21222,18177,18204,39_LC_1,1,3,21271,65
EMP.CONST.AVELLANEDA LTDA.,Providencia,2,AV. LUIS TAYER OJEDA 0191 P 16,226,3,65,PR,226_PR_3,65,21287,20864,21103,20403,21224,18203,19077,226_PR_3,3,2,21287,65
EMP.PARA EL DEPORTE Y LA SALUD LTDA,Las Condes,3,AVDA LAS CONDES 13635,372,5,60,LC,372_LC_5,67,21289,20874,21135,20460,21226,18357,19132,372_LC_5,5,3,21289,67
EMPRESA NACIONAL DE EXPLOSIVOS,Las Condes,3,RENATO SANCHEZ 3859,227,3,120,LC,227_LC_3,68,21299,20878,21140,20543,21249,18558,19147,227_LC_3,3,3,21299,68
EMPRESAS C.M.P.C. S.A.,Santiago,1,AGUSTINAS  1343 P.9,40,1,60,SA,40_SA_1,70,21302,20899,21156,20554,21274,18760,19420,40_SA_1,1,1,21302,70
EMPRESAS JUAN YARUR S.A.C.,Santiago,1,MONEDA 920 OF.801,228,3,100,SA,228_SA_3,70,21322,20947,21188,20660,21275,18835,19493,228_SA_3,3,1,21322,70
ENRIQUE OSIAC BROSKY,Las Condes,3,LAS CONDESAS 2436,152,2,1,LC,152_LC_2,70,21355,20959,21194,20823,21282,18840,19839,152_LC_2,2,3,21355,70
ENTEL PCS TELECOMUNICACIONES S.A.,Las Condes,3,AV. ANDRES BELLO 2711 PISO 14,41,1,120,LC,41_LC_1,70,21359,20975,21205,20848,21285,18844,20065,41_LC_1,1,3,21359,70
ENTEL PCS TELECOMUNICACIONES S.A.,Providencia,2,AV. ANDRES BELLO 2777 P11,42,1,60,PR,42_PR_1,70,21359,20975,21205,20848,21285,18844,20065,42_PR_1,1,2,21359,70
ESCUELA MILITAR,Las Condes,3,LOS MILITARES 4500 1 COMPA?IA,299,4,60,LC,299_LC_4,70,21363,20998,21242,20912,21288,19013,20123,299_LC_4,4,3,21363,70
ESEDEI INGENIEROS S.A.,Santiago,1,COYANCURA 2283 P7,43,1,207,SA,43_SA_1,73,21367,21005,21246,20947,21310,19134,21226,43_SA_1,1,1,21367,73
ESTUDIO RAUL DE LA FUENTE M. Y CIA. LTDA,Santiago,1,Agustinas 1235 of.32 Raul de la Fuente M,300,4,105,SA,300_SA_4,75,21375,21025,21269,20955,21321,19163,21399,300_SA_4,4,1,21375,75
EVASA S.A.,Santiago,1,TEATINOS 449 PISO 3,301,4,75,SA,301_SA_4,75,21380,21026,21284,20964,21459,19419,21558,301_SA_4,4,1,21380,75
EXAMENES DE LABORATORIOS S.A.,Providencia,2,11 DE SEPTIEMBRE 1920 P4,44,1,25,PR,44_PR_1,75,21389,21059,21379,21025,21471,19548,21604,44_PR_1,1,2,21389,75
EXTRACTOS NATURALES GELYMAR S.A.,Providencia,2,AV. STA. MARIA 2050 P.3,153,2,230,PR,153_PR_2,75,21397,21071,21389,21061,21533,19775,22006,153_PR_2,2,2,21397,75
FACH COMANDO LOGISTICO,Santiago,1,ALAMEDA 1170 PISO 3,302,4,90,SA,302_SA_4,75,21410,21104,21395,21096,21536,19778,22029,302_SA_4,4,1,21410,75
FALABELLA Y CIA. CORREDORA DE SEGUROS LT,Santiago,1,AHUMADA 179  PISO 9  CORREDORA,373,5,60,SA,373_SA_5,75,21411,21105,21455,21266,21623,19903,22288,373_SA_5,5,1,21411,75
FED. INTERN. DE TRAB. DE LA IND. METALUR,Providencia,2,PROV.2019 42-B P4,154,2,170,PR,154_PR_2,75,21422,21148,21559,21272,21721,19929,22296,154_PR_2,2,2,21422,75
FED. INTERN. DE TRAB. DE LA IND. METALUR,Providencia,2,PROV.2019 42-B P4,374,5,105,PR,374_PR_5,75,21422,21148,21559,21272,21721,19929,22296,374_PR_5,5,2,21422,75
FED.NAC.DE TRABAJADORES DEL COBRE,Santiago,1,GENERAL BUSTAMANTE 627 PISO 2,155,2,240,SA,155_SA_2,75,21430,21197,21565,21272,21732,20071,22520,155_SA_2,2,1,21430,75
FOCUS GROUP CONSULTORES LTDA.,Providencia,2,ISIDORO GOYENECHEA 3621 P9 OF 902,375,5,170,PR,375_PR_5,75,21435,21219,21610,21311,21770,20198,22536,375_PR_5,5,2,21435,75
FORWARD COMPUTACION LTDA,Santiago,1,ALAMEDA 108 L 119,229,3,60,SA,229_SA_3,75,21457,21227,21642,21423,21771,20257,22551,229_SA_3,3,1,21457,75
FUNDACION ALCAZAR,Providencia,2,GUARDIA VIEJA 255 OF. 704,156,2,80,PR,156_PR_2,75,21459,21234,21662,21446,21900,20315,22592,156_PR_2,2,2,21459,75
FUNDACION EDUCACIONAL TABANCURA,Vitacura,4,LAS HUALTATAS 10030,45,1,75,VI,45_VI_1,75,21468,21281,21700,21446,21912,20430,22760,45_VI_1,1,4,21468,75
FUNDACION NACIONAL PARA LA SUPERACION DE,Santiago,1,LONDRES 69,46,1,90,SA,46_SA_1,75,21470,21324,21705,21477,21970,20619,22786,46_SA_1,1,1,21470,75
FUNDACION NACIONAL PARA LA SUPERACION DE,Santiago,1,LONDRES   69,47,1,90,SA,47_SA_1,75,21470,21324,21705,21477,21970,20619,22786,47_SA_1,1,1,21470,75
FUNDACION VIDA,Providencia,2,RICCARDO MATTE PEREZ 0156,230,3,30,PR,230_PR_3,78,21482,21326,21724,21490,22011,20747,23203,230_PR_3,3,2,21482,78
GASTON FUENZALIDA PROPIEDADES LTDA,Las Condes,3,REYES LAVALLE 3330,303,4,60,LC,303_LC_4,79,21486,21348,21726,21504,22025,20844,23210,303_LC_4,4,3,21486,79
GOLDER ASSOCIATES S.A.,Providencia,2,AV. 11 DE SEPTIEMBRE 2353 PISO16,376,5,75,PR,376_PR_5,80,21494,21422,21726,21553,22028,20880,23301,376_PR_5,5,2,21494,80
GRAFHIKA COPY CENTER LTDA.,Vitacura,4,ANDRES   BELLO 2879  P. 1,304,4,120,VI,304_VI_4,80,21507,21425,21794,21632,22207,20967,23381,304_VI_4,4,4,21507,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,DOMEYKO 2338,231,3,80,SA,231_SA_3,80,21507,21425,21794,21632,22207,20967,23381,231_SA_3,3,1,21507,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,TENDERINI 78,49,1,60,SA,49_SA_1,80,21507,21425,21794,21632,22207,20967,23381,49_SA_1,1,1,21507,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,TENDERINI 78,306,4,270,SA,306_SA_4,80,21507,21425,21794,21632,22207,20967,23381,306_SA_4,4,1,21507,80
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,305,4,25,PR,305_PR_4,80,21507,21425,21794,21632,22207,20967,23381,305_PR_4,4,2,21507,80
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,377,5,30,PR,377_PR_5,80,21507,21425,21794,21632,22207,20967,23381,377_PR_5,5,2,21507,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,STO.  DOMINGO  1862,157,2,150,SA,157_SA_2,80,21507,21425,21794,21632,22207,20967,23381,157_SA_2,2,1,21507,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,DOMEYKO 2338,48,1,60,SA,48_SA_1,80,21507,21425,21794,21632,22207,20967,23381,48_SA_1,1,1,21507,80
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,232,3,120,PR,232_PR_3,80,21507,21425,21794,21632,22207,20967,23381,232_PR_3,3,2,21507,80
GRAFICA LETRILANDIA LTDA.,Santiago,1,PORTUGAL 658,307,4,120,SA,307_SA_4,80,21507,21431,21837,21671,22353,21302,23579,307_SA_4,4,1,21507,80
GUERRERO DITEAUX RAUL,Santiago,1,AV. VICUNA MACKENNA 856,233,3,40,SA,233_SA_3,80,21511,21469,21844,21746,22520,21443,23922,233_SA_3,3,1,21511,80
HEIDRICK Y STRUGGLES DE CHILE LTDA.,Providencia,2,AV ANDRES BELLO 2777  PISO 9 OF.903,378,5,30,PR,378_PR_5,80,21516,21475,21876,21810,22644,21479,24337,378_PR_5,5,2,21516,80
HOCHTIEF CHILENA LTDA.,Las Condes,3,AVDA EL BOSQUE NORTE 0440 P9 OF902,234,3,60,LC,234_LC_3,80,21529,21493,21946,21875,22661,21482,24482,234_LC_3,3,3,21529,80
"HONORATO, RUSSI A CIA. LTDA.",Las Condes,3,ROGER DE FLOR 2736 PISO 6,235,3,120,LC,235_LC_3,85,21538,21512,21968,21886,22670,21501,24524,235_LC_3,3,3,21538,85
HOTEL CORP.OF CHILE HYATT REGENCY,Las Condes,3,ALONSO DE CORDOVA 4601 CENTRO NEGOCIOS,379,5,60,LC,379_LC_5,85,21541,21563,21986,21918,22777,21522,24742,379_LC_5,5,3,21541,85
HOTELES DE CHILE S.A.,Las Condes,3,AVDA. KENNEDY 5741 P.1 RECEPCION,50,1,80,LC,50_LC_1,90,21543,21603,22002,22005,22795,22040,24878,50_LC_1,1,3,21543,90
HQI TRANSELEC CHILE S.A.,Providencia,2,APOQUINDO 3721 PISO 6,158,2,85,PR,158_PR_2,90,21548,21667,22024,22051,22802,22048,24905,158_PR_2,2,2,21548,90
I. MUNICIPALIDAD DE VITACURA,Vitacura,4,SANCHO DE LA HOZ 3470 DIREC.DE OPERACI,236,3,90,VI,236_VI_3,90,21549,21693,22073,22061,22808,22148,25109,236_VI_3,3,4,21549,90
I.MUNICIPALIDAD DE PROVIDENCIA,Providencia,2,P DE VALDIVIA 963  DEPTO CATASTRO,308,4,30,PR,308_PR_4,90,21557,21694,22115,22078,22833,22152,25176,308_PR_4,4,2,21557,90
I.MUNICIPALIDAD DE PROVIDENCIA,Providencia,2,PEDRO DE VALDIVIA 963.DIREC.PROTEC CIVIL,237,3,70,PR,237_PR_3,90,21557,21694,22115,22078,22833,22152,25176,237_PR_3,3,2,21557,90
I.MUNICIPALIDAD DE SANTIAGO,Santiago,1,BALMACEDA  1114  3P,159,2,55,SA,159_SA_2,90,21571,21697,22129,22078,23102,22370,25282,159_SA_2,2,1,21571,90
I.MUNICIPALIDAD DE SANTIAGO,Santiago,1,STO DOMINGO 916 PISO 7 OF.703 CENT.FOTO,51,1,90,SA,51_SA_1,90,21571,21697,22129,22078,23102,22370,25282,51_SA_1,1,1,21571,90
IMAX S. A.,Providencia,2,PADRE MARIANO 277 P 3,160,2,60,PR,160_PR_2,90,21574,21703,22182,22117,23149,22585,25320,160_PR_2,2,2,21574,90
IMPRESORA Y COMERCIAL TIEMPO FUTURO SA,Providencia,2,ALMIRANTE PASTENE 259,309,4,60,PR,309_PR_4,90,21581,21705,22184,22128,23180,22676,25540,309_PR_4,4,2,21581,90
IMPRESORA Y COMERCIAL TIEMPO FUTURO SA,Providencia,2,ALMIRANTE PASTENE 259,310,4,120,PR,310_PR_4,90,21581,21705,22184,22128,23180,22676,25540,310_PR_4,4,2,21581,90
INACAP,Las Condes,3,AV. APOQUINDO 7282 P-3 SALA DE PROF.,161,2,180,LC,161_LC_2,90,21590,21719,22313,22184,23243,22919,25629,161_LC_2,2,3,21590,90
INDUSTRIA TEXTIL MONARCH S.A.,Santiago,1,VICUNA MACKENNA 1215 PISO 3,238,3,60,SA,238_SA_3,90,21602,21743,22314,22193,23260,23022,25749,238_SA_3,3,1,21602,90
ING SALUD ISAPRE,Santiago,1,MIRAFLORES 222 E/P,162,2,1,SA,162_SA_2,90,21652,21766,22317,22285,23277,23225,26006,162_SA_2,2,1,21652,90
ING SALUD S.A.,Santiago,1,MORANDE 325 SUBTERRANEO,239,3,180,SA,239_SA_3,90,21671,21846,22343,22309,23344,23296,26409,239_SA_3,3,1,21671,90
ING SEGUROS DE VIDA S.A.,Providencia,2,COYANCURA 2283,52,1,30,PR,52_PR_1,90,21678,21875,22347,22341,23406,23327,26633,52_PR_1,1,2,21678,90
ING SEGUROS DE VIDA S.A.,Providencia,2,COYANCURA 2283,240,3,60,PR,240_PR_3,90,21678,21875,22347,22341,23406,23327,26633,240_PR_3,3,2,21678,90
INGENIERIA ELECTRICA VOLTA LTDA.,—uÒoa,5,JOSE MANUEL INFANTE 2670,53,1,90,NU,53_NU_1,90,21681,21920,22378,22362,23409,23372,26740,53_NU_1,1,5,21681,90
INGENIERIA Y CONST. KODAMA LTDA.,Providencia,2,AVDA ELIODORO YA?EZ 1198,311,4,60,PR,311_PR_4,90,21684,21929,22412,22372,23410,23739,26918,311_PR_4,4,2,21684,90
INMOBIL. E INVERSIONES RUCA S.A.,Santiago,1,MAC IVER 225 OF 302,241,3,20,SA,241_SA_3,90,21695,21953,22432,22384,23593,23980,26990,241_SA_3,3,1,21695,90
INMOBILIARIA NORTE VERDE S.A.,Las Condes,3,ENRIQUE FOSTER SUR 20 PISO 14,55,1,60,LC,55_LC_1,90,21729,21958,22434,22461,23596,24013,28004,55_LC_1,1,3,21729,90
INMOBILIARIA NORTE VERDE S.A.,Las Condes,3,ENRIQUE FOSTER SUR 20 PISO 14,54,1,60,LC,54_LC_1,90,21729,21958,22434,22461,23596,24013,28004,54_LC_1,1,3,21729,90
INSTITUTO DE ESTUDIOS GRAFICOS DE CHILE,Providencia,2,CANADA 253  OF A  2257706,312,4,50,PR,312_PR_4,90,21735,21975,22478,22638,23603,24093,28016,312_PR_4,4,2,21735,90
INSTITUTO HEBREO S.A.,Las Condes,3,AV.LAS CONDES 13450,56,1,150,LC,56_LC_1,90,21771,21979,22482,22653,23655,24473,28647,56_LC_1,1,3,21771,90
INSTITUTO NACIONAL DE DEPORTES,Providencia,2,FIDEL OTEIZA 1956 P.3,313,4,50,PR,313_PR_4,90,21801,21991,22485,22653,23658,24603,28909,313_PR_4,4,2,21801,90
INSTITUTO NACIONAL DE DEPORTES,Providencia,2,FIDEL OTEIZA 1956  P.8,163,2,120,PR,163_PR_2,90,21801,21991,22485,22653,23658,24603,28909,163_PR_2,2,2,21801,90
INTERPLUS S.A.,—uÒoa,5,JOSE P.ALESSANDRI 1800,164,2,90,NU,164_NU_2,90,21807,22029,22495,22706,23663,24835,29090,164_NU_2,2,5,21807,90
INVERSIONES Y SERVICIOS S.A.,Santiago,1,HUERFANOS 979 P 7,314,4,20,SA,314_SA_4,90,21808,22063,22556,22720,23728,24916,29149,314_SA_4,4,1,21808,90
ISAPRE COLMENA GOLDEN CROSS S.A.,Las Condes,3,APOQUINDO 5009 DPTO DE OPERACIONES,380,5,234,LC,380_LC_5,90,21812,22126,22640,22844,23741,24924,29287,380_LC_5,5,3,21812,90
ISAPRE CONSALUD S.A.,Santiago,1,ALAMEDA 1511 P.7,59,1,60,SA,59_SA_1,90,21836,22145,22712,23001,23754,24953,29624,59_SA_1,1,1,21836,90
ISAPRE CONSALUD S.A.,Santiago,1,SAN MARTIN 30 PISO 1,57,1,60,SA,57_SA_1,90,21836,22145,22712,23001,23754,24953,29624,57_SA_1,1,1,21836,90
ISAPRE CONSALUD S.A.,Santiago,1,ALAMEDA 1511 P.7,58,1,60,SA,58_SA_1,90,21836,22145,22712,23001,23754,24953,29624,58_SA_1,1,1,21836,90
ISAPRE PROMEPART,Santiago,1,MERCED 280 PISO 3,165,2,120,SA,165_SA_2,90,21847,22146,22762,23027,23816,25056,29692,165_SA_2,2,1,21847,90
ISE LAS AMERICAS CIA DE SEG DE VIDA S.A.,Las Condes,3,AV. EL BOSQUE NORTE 0177 OF. 602,60,1,90,LC,60_LC_1,90,21850,22160,22798,23051,23854,25102,29901,60_LC_1,1,3,21850,90
JOHNSON`S S.A.,Santiago,1,—UBLE   1055  P. 2,167,2,60,SA,167_SA_2,90,21889,22256,22816,23071,23864,25399,30013,167_SA_2,2,1,21889,90
JOHNSON`S S.A.,Santiago,1,AGUSTINAS 978,64,1,10,SA,64_SA_1,90,21889,22256,22816,23071,23864,25399,30013,64_SA_1,1,1,21889,90
JOHNSON`S S.A.,Santiago,1,AHUMADA 55 PISO 2,62,1,150,SA,62_SA_1,90,21889,22256,22816,23071,23864,25399,30013,62_SA_1,1,1,21889,90
JOHNSON`S S.A.,Santiago,1,NUBLE 1034 PISO 2,61,1,30,SA,61_SA_1,90,21889,22256,22816,23071,23864,25399,30013,61_SA_1,1,1,21889,90
JOHNSON`S S.A.,Santiago,1,AVDA. KENNEDY 5413 L-123,166,2,40,SA,166_SA_2,90,21889,22256,22816,23071,23864,25399,30013,166_SA_2,2,1,21889,90
JOHNSON`S S.A.,Santiago,1,—UBLE 1008 REC HUMANOS,65,1,30,SA,65_SA_1,90,21889,22256,22816,23071,23864,25399,30013,65_SA_1,1,1,21889,90
JOHNSON`S S.A.,Santiago,1,MATIAS COUSI—O  64 E P OF 1,63,1,75,SA,63_SA_1,90,21889,22256,22816,23071,23864,25399,30013,63_SA_1,1,1,21889,90
JOHNSON`S S.A.,Santiago,1,SAN DIEGO 1856 PISO 2 AUDITORIA,381,5,60,SA,381_SA_5,90,21889,22256,22816,23071,23864,25399,30013,381_SA_5,5,1,21889,90
KOCH INGENIERIA (CHILE) LTDA.,Las Condes,3,EL BOSQUE NORTE 0440 OF.1202,242,3,40,LC,242_LC_3,90,21918,22264,22833,23123,23906,25468,30212,242_LC_3,3,3,21918,90
KPMG JERIA Y ASOC. AUDIT. CONSULT. LTDA.,Santiago,1,MONJITAS 527 PISO 13 OF 1304,315,4,180,SA,315_SA_4,90,21920,22299,22850,23141,23919,25497,30325,315_SA_4,4,1,21920,90
LABORATORIO CHILE S.A.,—uÒoa,5,AV MARATON 1315,316,4,60,NU,316_NU_4,90,21935,22304,22867,23148,23931,25643,30391,316_NU_4,4,5,21935,90
LABORATORIO RECALCINE,Providencia,2,PEDRO DE VALDIVIA 428,66,1,75,PR,66_PR_1,90,21948,22357,22874,23183,23942,25758,30399,66_PR_1,1,2,21948,90
LABORATORIO RIDER S.A.,Santiago,1,PLACER 1354  PISO 2,168,2,60,SA,168_SA_2,90,21954,22372,22881,23207,23973,25772,30498,168_SA_2,2,1,21954,90
LAS AGUILAS LTDA.,Santiago,1,BANDERA 84 P2 OF 215,67,1,60,SA,67_SA_1,90,21974,22391,22924,23266,24022,26048,30858,67_SA_1,1,1,21974,90
LE MANS ISE CIA.DE SEG.GENERALES S.A.,Las Condes,3,ENCOMENDEROS 138,317,4,45,LC,317_LC_4,90,21994,22443,23001,23459,24080,26060,30989,317_LC_4,4,3,21994,90
LEXIS NEXIS CHILE LTDA,Santiago,1,MIRAFLORES 383 P.12,243,3,120,SA,243_SA_3,90,22009,22464,23032,23481,24087,26213,31094,243_SA_3,3,1,22009,90
LEXIS NEXIS CHILE LTDA,Santiago,1,MIRAFLORES  383 PISO 12,318,4,240,SA,318_SA_4,90,22009,22464,23032,23481,24087,26213,31094,318_SA_4,4,1,22009,90
