razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,p,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
COMERCIALIZADORA INTEGRAL LTDA.,Providencia,2,ISIDORITA 143,364,5,1,PR,364_PR_5,21600,20922,20330,17706,19433,19595,14201,12306,364_PR_5,5,2,12306,1
COMERCIALIZADORA S.A.,Santiago,1,ALAMEDA 757 P5,217,3,150,SA,217_SA_3,21600,20924,20338,17758,19460,19631,14206,12386,217_SA_3,3,1,12386,150
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 696 P.2 DPTO.CREDITO,365,5,120,SA,365_SA_5,21600,20924,20338,17758,19460,19631,14206,12386,365_SA_5,5,1,12386,120
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 640 DEPTO CREDITO P1,290,4,60,SA,290_SA_4,21600,20924,20338,17758,19460,19631,14206,12386,290_SA_4,4,1,12386,60
COMISION NACIONAL DE RIEGO,Santiago,1,VALENTIN LETELIER 1350 P.1,291,4,150,SA,291_SA_4,21600,20955,20409,17798,19515,19631,14216,12591,291_SA_4,4,1,12591,150
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 6,292,4,50,PR,292_PR_4,21600,20959,20429,17798,19564,19721,14237,12641,292_PR_4,4,2,12641,50
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 1,293,4,165,PR,293_PR_4,21600,20959,20429,17798,19564,19721,14237,12641,293_PR_4,4,2,12641,165
CONFECCIONES GERARD LTDA.,Santiago,1,NATANIEL COX 1528,294,4,90,SA,294_SA_4,21600,20960,20488,17820,19582,19739,14323,12965,294_SA_4,4,1,12965,90
CONSEJO LOCAL DE DEPORTES LAS CONDES,Las Condes,3,CERRO COLORADO 5435,142,2,50,LC,142_LC_2,21600,20966,20490,17846,19606,19740,14400,13124,142_LC_2,2,3,13124,50
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.2,218,3,120,SA,218_SA_3,21600,20986,20515,17857,19686,19786,14506,13147,218_SA_3,3,1,13147,120
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.4,219,3,90,SA,219_SA_3,21600,20986,20515,17857,19686,19786,14506,13147,219_SA_3,3,1,13147,90
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440  P.2,143,2,180,SA,143_SA_2,21600,20986,20515,17857,19686,19786,14506,13147,143_SA_2,2,1,13147,180
CONSORCIO ARA-INGENDESA LTDA.,Santiago,1,SAN ISIDRO 65,144,2,90,SA,144_SA_2,21600,20991,20569,17886,19701,19792,14507,13249,144_SA_2,2,1,13249,90
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,CALLAO 2928 PISO 1,145,2,60,LC,145_LC_2,21600,21022,20608,18097,19712,19813,14556,13520,145_LC_2,2,3,13520,60
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Santiago,1,BANDERA 248 LC.1,146,2,165,SA,146_SA_2,21600,21022,20608,18097,19712,19813,14556,13520,146_SA_2,2,1,13520,165
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,AV.EL BOSQUE SUR 180 P6 RRHH,147,2,30,LC,147_LC_2,21600,21022,20608,18097,19712,19813,14556,13520,147_LC_2,2,3,13520,30
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Providencia,2,EL BOSQUE 180 PISO 6,220,3,60,PR,220_PR_3,21600,21022,20608,18097,19712,19813,14556,13520,220_PR_3,3,2,13520,60
CONSTRA.ASOC.B Y C LTDA.,Providencia,2,LAS URBINA 53 OF 141,30,1,60,PR,30_PR_1,21600,21043,20620,18158,19798,19838,15000,13816,30_PR_1,1,2,13816,60
CONSTRUCTORA CABO DE HORNOS LTDA.,Las Condes,3,LINEO 6557,295,4,60,LC,295_LC_4,21600,21058,20652,18183,19842,19859,15208,14072,295_LC_4,4,3,14072,60
CONSTRUCTORA COPEVA S. A.,Santiago,1,PHILLIPS 84 OF 49,366,5,20,SA,366_SA_5,21600,21069,20685,18243,19871,19861,15449,14162,366_SA_5,5,1,14162,20
CORPBANCA,Santiago,1,HUERFANOS 1072   P8,32,1,90,SA,32_SA_1,21600,21087,20700,18277,19880,19883,15821,14216,32_SA_1,1,1,14216,90
CORPBANCA,Santiago,1,ALAMEDA 2206 PISO 1,31,1,90,SA,31_SA_1,21600,21087,20700,18277,19880,19883,15821,14216,31_SA_1,1,1,14216,90
CORPORACION DE AYUDA AL PACIENTE MENTAL,Providencia,2,MELCHOR CONCHA 9 BARRIO BELLAVISTA,367,5,15,PR,367_PR_5,21600,21140,20720,18318,19900,19965,15903,14277,367_PR_5,5,2,14277,15
COZ Y CIA. LTDA.,Las Condes,3,AV LAS CONDES 11380 OF. 101,33,1,150,LC,33_LC_1,21600,21150,20721,18372,19982,20023,16018,14559,33_LC_1,1,3,14559,150
CTRO. DE ANALISIS Y ASES DE MERCADO  LTD,Providencia,2,CARLOS ANTUNEZ  1843 DEPTO  105  BLOCK22,221,3,35,PR,221_PR_3,21600,21159,20732,18465,19984,20156,16034,14622,221_PR_3,3,2,14622,35
DEFENSA CIVIL DE CHILE,Santiago,1,VERGARA 135,296,4,90,SA,296_SA_4,21600,21163,20756,18481,20011,20209,16256,14670,296_SA_4,4,1,14670,90
DELOITTE & TOUCHE,Providencia,2,PROVIDENCIA 1760 PISO 9,222,3,60,PR,222_PR_3,21600,21169,20757,18498,20061,20300,16259,14697,222_PR_3,3,2,14697,60
DELOITTE & TOUCHE OUTSOURCING S.A.,Providencia,2,AV PROVIDENCIA 1760 PISO 6,223,3,40,PR,223_PR_3,21600,21169,20826,18552,20083,20313,16325,14725,223_PR_3,3,2,14725,40
DELTOUR,Providencia,2,MONSE?OR FELIX CABRERA 62,224,3,50,PR,224_PR_3,21600,21191,20854,18652,20109,20380,16584,14855,224_PR_3,3,2,14855,50
DERCO AUTOS S.A.,Las Condes,3,AV KENNEDY 5601 1ER SUBTE,34,1,80,LC,34_LC_1,21600,21283,20864,18860,20203,20386,17086,14907,34_LC_1,1,3,14907,80
DIARIO EL SUR S.A.,Santiago,1,CATEDRAL 1009   OF 306,148,2,90,SA,148_SA_2,21600,21303,20878,18946,20225,20396,17144,14977,148_SA_2,2,1,14977,90
DILACO LTDA,Providencia,2,PEREZ VALENZUELA  N? 1138 P 4,368,5,5,PR,368_PR_5,21600,21308,20896,19072,20310,20439,17176,15025,368_PR_5,5,2,15025,5
DIRECCION DEL TRABAJO,Santiago,1,AGUSTINAS 1253 P.6 OF.601 PRES,369,5,120,SA,369_SA_5,21600,21321,20899,19251,20314,20481,17294,15055,369_SA_5,5,1,15055,120
DIRECCION DEL TRABAJO,Santiago,1,AGUSTINAS 1253 PISO 6 OFIC. PA,370,5,140,SA,370_SA_5,21600,21321,20899,19251,20314,20481,17294,15055,370_SA_5,5,1,15055,140
DIRECCION NACIONAL GENDARMERIA DE CHILE,Santiago,1,ROSAS 1274 PISO 3,225,3,80,SA,225_SA_3,21600,21324,20929,19342,20319,20514,17417,15276,225_SA_3,3,1,15276,80
DIRECCION NACIONAL GENDARMERIA DE CHILE,Santiago,1,ROSAS 1274 PISO 1 (CONTAB Y PR,35,1,105,SA,35_SA_1,21600,21324,20929,19342,20319,20514,17417,15276,35_SA_1,1,1,15276,105
DISTRIBUIDORA AUTOMOTRIZ SANTIAGO S.A.,Santiago,1,COQUIMBO 345,297,4,100,SA,297_SA_4,21600,21349,20934,19558,20352,20541,17804,15648,297_SA_4,4,1,15648,100
"ECHEVERRIA,IZQUIERDO,ING. Y CONST. S.A.",Las Condes,3,BENJAMIN 2944 PISO 2.,36,1,60,LC,36_LC_1,21600,21361,20939,19705,20378,20570,18060,15671,36_LC_1,1,3,15671,60
ECOLAB S.A.,Providencia,2,PEDRO DE VALDIVIA 3801,298,4,120,PR,298_PR_4,21600,21368,20978,19850,20390,20667,18132,15782,298_PR_4,4,2,15782,120
EJERCITO DE CHILE DIRECCION DE LOGISTICA,Santiago,1,ZENTENO 45 P 8,150,2,120,SA,150_SA_2,21600,21370,20989,19866,20400,20737,18281,15794,150_SA_2,2,1,15794,120
EJERCITO DE CHILE DIRECCION DE LOGISTICA,Santiago,1,ZENTENO 45 P.8 AYUDANTIA PERS.,149,2,235,SA,149_SA_2,21600,21370,20989,19866,20400,20737,18281,15794,149_SA_2,2,1,15794,235
EJERCITO DE SALVACION,Santiago,1,"AV.ESPA??""A 46-PISO 2",151,2,120,SA,151_SA_2,21600,21382,21007,19892,20400,20759,18310,15947,151_SA_2,2,1,15947,120
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,38,1,80,PR,38_PR_1,21600,21384,21010,20034,20421,20905,18442,15981,38_PR_1,1,2,15981,80
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,371,5,30,PR,371_PR_5,21600,21384,21010,20034,20421,20905,18442,15981,371_PR_5,5,2,15981,30
EMBAJADA DE ITALIA,Providencia,2,CLEMENTE FABRES 1050,37,1,60,PR,37_PR_1,21600,21384,21010,20034,20421,20905,18442,15981,37_PR_1,1,2,15981,60
EMBAJADA DE RUSIA,Las Condes,3,COLON 4152,39,1,90,LC,39_LC_1,21600,21404,21019,20052,20460,20953,18633,15986,39_LC_1,1,3,15986,90
EMP.CONST.AVELLANEDA LTDA.,Providencia,2,AV. LUIS TAYER OJEDA 0191 P 16,226,3,65,PR,226_PR_3,21600,21405,21036,20143,20501,20982,18688,16181,226_PR_3,3,2,16181,65
EMP.PARA EL DEPORTE Y LA SALUD LTDA,Las Condes,3,AVDA LAS CONDES 13635,372,5,60,LC,372_LC_5,21600,21416,21036,20185,20548,20986,18799,16250,372_LC_5,5,3,16250,60
EMPRESA NACIONAL DE EXPLOSIVOS,Las Condes,3,RENATO SANCHEZ 3859,227,3,120,LC,227_LC_3,21600,21427,21036,20188,20550,21023,18992,16445,227_LC_3,3,3,16445,120
EMPRESAS C.M.P.C. S.A.,Santiago,1,AGUSTINAS  1343 P.9,40,1,60,SA,40_SA_1,21600,21441,21041,20297,20556,21061,19017,16493,40_SA_1,1,1,16493,60
EMPRESAS JUAN YARUR S.A.C.,Santiago,1,MONEDA 920 OF.801,228,3,100,SA,228_SA_3,21600,21509,21096,20301,20581,21191,19040,16652,228_SA_3,3,1,16652,100
ENRIQUE OSIAC BROSKY,Las Condes,3,LAS CONDESAS 2436,152,2,1,LC,152_LC_2,21600,21520,21101,20306,20634,21204,19156,16911,152_LC_2,2,3,16911,1
ENTEL PCS TELECOMUNICACIONES S.A.,Las Condes,3,AV. ANDRES BELLO 2711 PISO 14,41,1,120,LC,41_LC_1,21600,21529,21114,20700,20647,21365,19319,17209,41_LC_1,1,3,17209,120
ENTEL PCS TELECOMUNICACIONES S.A.,Providencia,2,AV. ANDRES BELLO 2777 P11,42,1,60,PR,42_PR_1,21600,21529,21114,20700,20647,21365,19319,17209,42_PR_1,1,2,17209,60
ESCUELA MILITAR,Las Condes,3,LOS MILITARES 4500 1 COMPA?IA,299,4,60,LC,299_LC_4,21600,21535,21125,20750,20669,21379,19741,17319,299_LC_4,4,3,17319,60
ESEDEI INGENIEROS S.A.,Santiago,1,COYANCURA 2283 P7,43,1,207,SA,43_SA_1,21600,21541,21156,20782,20680,21402,19747,17421,43_SA_1,1,1,17421,207
ESTUDIO RAUL DE LA FUENTE M. Y CIA. LTDA,Santiago,1,Agustinas 1235 of.32 Raul de la Fuente M,300,4,105,SA,300_SA_4,21600,21564,21173,20787,20689,21450,19853,17617,300_SA_4,4,1,17617,105
EVASA S.A.,Santiago,1,TEATINOS 449 PISO 3,301,4,75,SA,301_SA_4,21600,21572,21194,20795,20709,21503,19929,18780,301_SA_4,4,1,18780,75
EXAMENES DE LABORATORIOS S.A.,Providencia,2,11 DE SEPTIEMBRE 1920 P4,44,1,25,PR,44_PR_1,21600,21575,21202,20830,20711,21513,20164,19063,44_PR_1,1,2,19063,25
EXTRACTOS NATURALES GELYMAR S.A.,Providencia,2,AV. STA. MARIA 2050 P.3,153,2,230,PR,153_PR_2,21600,21575,21230,20925,20721,21526,20275,19079,153_PR_2,2,2,19079,230
FACH COMANDO LOGISTICO,Santiago,1,ALAMEDA 1170 PISO 3,302,4,90,SA,302_SA_4,21600,21580,21238,20931,20724,21596,20429,19081,302_SA_4,4,1,19081,90
FALABELLA Y CIA. CORREDORA DE SEGUROS LT,Santiago,1,AHUMADA 179  PISO 9  CORREDORA,373,5,60,SA,373_SA_5,21600,21582,21246,20949,20731,21602,20512,19091,373_SA_5,5,1,19091,60
FED. INTERN. DE TRAB. DE LA IND. METALUR,Providencia,2,PROV.2019 42-B P4,154,2,170,PR,154_PR_2,21600,21594,21256,21018,20765,21617,20761,19365,154_PR_2,2,2,19365,170
FED. INTERN. DE TRAB. DE LA IND. METALUR,Providencia,2,PROV.2019 42-B P4,374,5,105,PR,374_PR_5,21600,21594,21256,21018,20765,21617,20761,19365,374_PR_5,5,2,19365,105
FED.NAC.DE TRABAJADORES DEL COBRE,Santiago,1,GENERAL BUSTAMANTE 627 PISO 2,155,2,240,SA,155_SA_2,21600,21614,21270,21064,20801,21622,20794,19456,155_SA_2,2,1,19456,240
FOCUS GROUP CONSULTORES LTDA.,Providencia,2,ISIDORO GOYENECHEA 3621 P9 OF 902,375,5,170,PR,375_PR_5,21600,21616,21321,21073,20881,21627,20863,19469,375_PR_5,5,2,19469,170
FORWARD COMPUTACION LTDA,Santiago,1,ALAMEDA 108 L 119,229,3,60,SA,229_SA_3,21600,21623,21325,21074,20890,21646,20878,19845,229_SA_3,3,1,19845,60
FUNDACION ALCAZAR,Providencia,2,GUARDIA VIEJA 255 OF. 704,156,2,80,PR,156_PR_2,21600,21635,21375,21136,20904,21753,20991,19924,156_PR_2,2,2,19924,80
FUNDACION EDUCACIONAL TABANCURA,Vitacura,4,LAS HUALTATAS 10030,45,1,75,VI,45_VI_1,21600,21639,21390,21157,20934,21756,21017,19980,45_VI_1,1,4,19980,75
FUNDACION NACIONAL PARA LA SUPERACION DE,Santiago,1,LONDRES 69,46,1,90,SA,46_SA_1,21600,21641,21415,21233,20998,21886,21281,19991,46_SA_1,1,1,19991,90
FUNDACION NACIONAL PARA LA SUPERACION DE,Santiago,1,LONDRES   69,47,1,90,SA,47_SA_1,21600,21641,21415,21233,20998,21886,21281,19991,47_SA_1,1,1,19991,90
FUNDACION VIDA,Providencia,2,RICCARDO MATTE PEREZ 0156,230,3,30,PR,230_PR_3,21600,21667,21428,21243,21009,21894,21290,20022,230_PR_3,3,2,20022,30
GASTON FUENZALIDA PROPIEDADES LTDA,Las Condes,3,REYES LAVALLE 3330,303,4,60,LC,303_LC_4,21600,21667,21451,21253,21035,21895,21293,20276,303_LC_4,4,3,20276,60
GOLDER ASSOCIATES S.A.,Providencia,2,AV. 11 DE SEPTIEMBRE 2353 PISO16,376,5,75,PR,376_PR_5,21600,21668,21463,21262,21103,21897,21457,20308,376_PR_5,5,2,20308,75
GRAFHIKA COPY CENTER LTDA.,Vitacura,4,ANDRES   BELLO 2879  P. 1,304,4,120,VI,304_VI_4,21600,21696,21484,21540,21107,21951,21515,20451,304_VI_4,4,4,20451,120
GRAFHIKA COPY CENTER LTDA.,Santiago,1,DOMEYKO 2338,231,3,80,SA,231_SA_3,21600,21696,21484,21540,21107,21951,21515,20451,231_SA_3,3,1,20451,80
GRAFHIKA COPY CENTER LTDA.,Santiago,1,TENDERINI 78,49,1,60,SA,49_SA_1,21600,21696,21484,21540,21107,21951,21515,20451,49_SA_1,1,1,20451,60
GRAFHIKA COPY CENTER LTDA.,Santiago,1,TENDERINI 78,306,4,270,SA,306_SA_4,21600,21696,21484,21540,21107,21951,21515,20451,306_SA_4,4,1,20451,270
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,305,4,25,PR,305_PR_4,21600,21696,21484,21540,21107,21951,21515,20451,305_PR_4,4,2,20451,25
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,377,5,30,PR,377_PR_5,21600,21696,21484,21540,21107,21951,21515,20451,377_PR_5,5,2,20451,30
GRAFHIKA COPY CENTER LTDA.,Santiago,1,STO.  DOMINGO  1862,157,2,150,SA,157_SA_2,21600,21696,21484,21540,21107,21951,21515,20451,157_SA_2,2,1,20451,150
GRAFHIKA COPY CENTER LTDA.,Santiago,1,DOMEYKO 2338,48,1,60,SA,48_SA_1,21600,21696,21484,21540,21107,21951,21515,20451,48_SA_1,1,1,20451,60
GRAFHIKA COPY CENTER LTDA.,Providencia,2,GUARDIA VIEJA 240,232,3,120,PR,232_PR_3,21600,21696,21484,21540,21107,21951,21515,20451,232_PR_3,3,2,20451,120
GRAFICA LETRILANDIA LTDA.,Santiago,1,PORTUGAL 658,307,4,120,SA,307_SA_4,21600,21721,21490,21569,21134,21995,21520,20813,307_SA_4,4,1,20813,120
GUERRERO DITEAUX RAUL,Santiago,1,AV. VICUNA MACKENNA 856,233,3,40,SA,233_SA_3,21600,21727,21500,21645,21155,21996,21581,20819,233_SA_3,3,1,20819,40
HEIDRICK Y STRUGGLES DE CHILE LTDA.,Providencia,2,AV ANDRES BELLO 2777  PISO 9 OF.903,378,5,30,PR,378_PR_5,21600,21730,21556,21805,21159,22014,21592,21042,378_PR_5,5,2,21042,30
HOCHTIEF CHILENA LTDA.,Las Condes,3,AVDA EL BOSQUE NORTE 0440 P9 OF902,234,3,60,LC,234_LC_3,21600,21732,21558,21841,21259,22076,21755,21065,234_LC_3,3,3,21065,60
"HONORATO, RUSSI A CIA. LTDA.",Las Condes,3,ROGER DE FLOR 2736 PISO 6,235,3,120,LC,235_LC_3,21600,21736,21606,21920,21267,22077,21768,21112,235_LC_3,3,3,21112,120
HOTEL CORP.OF CHILE HYATT REGENCY,Las Condes,3,ALONSO DE CORDOVA 4601 CENTRO NEGOCIOS,379,5,60,LC,379_LC_5,21600,21790,21693,22191,21268,22150,21774,21371,379_LC_5,5,3,21371,60
HOTELES DE CHILE S.A.,Las Condes,3,AVDA. KENNEDY 5741 P.1 RECEPCION,50,1,80,LC,50_LC_1,21600,21809,21709,22196,21276,22297,21789,21641,50_LC_1,1,3,21641,80
HQI TRANSELEC CHILE S.A.,Providencia,2,APOQUINDO 3721 PISO 6,158,2,85,PR,158_PR_2,21600,21809,21716,22262,21288,22321,21826,21833,158_PR_2,2,2,21833,85
I. MUNICIPALIDAD DE VITACURA,Vitacura,4,SANCHO DE LA HOZ 3470 DIREC.DE OPERACI,236,3,90,VI,236_VI_3,21600,21818,21717,22274,21306,22378,21832,21846,236_VI_3,3,4,21846,90
I.MUNICIPALIDAD DE PROVIDENCIA,Providencia,2,P DE VALDIVIA 963  DEPTO CATASTRO,308,4,30,PR,308_PR_4,21600,21821,21718,22312,21326,22434,21929,21878,308_PR_4,4,2,21878,30
I.MUNICIPALIDAD DE PROVIDENCIA,Providencia,2,PEDRO DE VALDIVIA 963.DIREC.PROTEC CIVIL,237,3,70,PR,237_PR_3,21600,21821,21718,22312,21326,22434,21929,21878,237_PR_3,3,2,21878,70
I.MUNICIPALIDAD DE SANTIAGO,Santiago,1,BALMACEDA  1114  3P,159,2,55,SA,159_SA_2,21600,21822,21719,22335,21328,22529,21940,21961,159_SA_2,2,1,21961,55
I.MUNICIPALIDAD DE SANTIAGO,Santiago,1,STO DOMINGO 916 PISO 7 OF.703 CENT.FOTO,51,1,90,SA,51_SA_1,21600,21822,21719,22335,21328,22529,21940,21961,51_SA_1,1,1,21961,90
IMAX S. A.,Providencia,2,PADRE MARIANO 277 P 3,160,2,60,PR,160_PR_2,21600,21823,21769,22382,21362,22534,22039,22033,160_PR_2,2,2,22033,60
IMPRESORA Y COMERCIAL TIEMPO FUTURO SA,Providencia,2,ALMIRANTE PASTENE 259,309,4,60,PR,309_PR_4,21600,21825,21786,22402,21366,22538,22064,22504,309_PR_4,4,2,22504,60
IMPRESORA Y COMERCIAL TIEMPO FUTURO SA,Providencia,2,ALMIRANTE PASTENE 259,310,4,120,PR,310_PR_4,21600,21825,21786,22402,21366,22538,22064,22504,310_PR_4,4,2,22504,120
INACAP,Las Condes,3,AV. APOQUINDO 7282 P-3 SALA DE PROF.,161,2,180,LC,161_LC_2,21600,21827,21794,22435,21559,22542,22071,22801,161_LC_2,2,3,22801,180
INDUSTRIA TEXTIL MONARCH S.A.,Santiago,1,VICUNA MACKENNA 1215 PISO 3,238,3,60,SA,238_SA_3,21600,21830,21799,22529,21561,22591,22129,23098,238_SA_3,3,1,23098,60
ING SALUD ISAPRE,Santiago,1,MIRAFLORES 222 E/P,162,2,1,SA,162_SA_2,21600,21832,21817,22550,21603,22609,22238,23163,162_SA_2,2,1,23163,1
ING SALUD S.A.,Santiago,1,MORANDE 325 SUBTERRANEO,239,3,180,SA,239_SA_3,21600,21835,21856,22582,21610,22661,22311,23461,239_SA_3,3,1,23461,180
ING SEGUROS DE VIDA S.A.,Providencia,2,COYANCURA 2283,52,1,30,PR,52_PR_1,21600,21842,21875,22593,21631,22776,22407,23759,52_PR_1,1,2,23759,30
ING SEGUROS DE VIDA S.A.,Providencia,2,COYANCURA 2283,240,3,60,PR,240_PR_3,21600,21842,21875,22593,21631,22776,22407,23759,240_PR_3,3,2,23759,60
INGENIERIA ELECTRICA VOLTA LTDA.,"??""u?'oa",5,JOSE MANUEL INFANTE 2670,53,1,90,NU,53_NU_1,21600,21843,21969,22605,21743,22780,22599,23805,53_NU_1,1,5,23805,90
INGENIERIA Y CONST. KODAMA LTDA.,Providencia,2,AVDA ELIODORO YA?EZ 1198,311,4,60,PR,311_PR_4,21600,21869,21971,22643,21784,22833,22611,23882,311_PR_4,4,2,23882,60
INMOBIL. E INVERSIONES RUCA S.A.,Santiago,1,MAC IVER 225 OF 302,241,3,20,SA,241_SA_3,21600,21877,21995,22700,21796,22835,22640,24133,241_SA_3,3,1,24133,20
INMOBILIARIA NORTE VERDE S.A.,Las Condes,3,ENRIQUE FOSTER SUR 20 PISO 14,55,1,60,LC,55_LC_1,21600,21889,22001,22710,21864,22840,22720,24355,55_LC_1,1,3,24355,60
INMOBILIARIA NORTE VERDE S.A.,Las Condes,3,ENRIQUE FOSTER SUR 20 PISO 14,54,1,60,LC,54_LC_1,21600,21889,22001,22710,21864,22840,22720,24355,54_LC_1,1,3,24355,60
INSTITUTO DE ESTUDIOS GRAFICOS DE CHILE,Providencia,2,CANADA 253  OF A  2257706,312,4,50,PR,312_PR_4,21600,21897,22025,22733,21903,22912,23124,24635,312_PR_4,4,2,24635,50
INSTITUTO HEBREO S.A.,Las Condes,3,AV.LAS CONDES 13450,56,1,150,LC,56_LC_1,21600,21898,22052,22870,21918,22975,23221,24825,56_LC_1,1,3,24825,150
INSTITUTO NACIONAL DE DEPORTES,Providencia,2,FIDEL OTEIZA 1956 P.3,313,4,50,PR,313_PR_4,21600,21901,22067,22915,21993,23008,23224,24918,313_PR_4,4,2,24918,50
INSTITUTO NACIONAL DE DEPORTES,Providencia,2,FIDEL OTEIZA 1956  P.8,163,2,120,PR,163_PR_2,21600,21901,22067,22915,21993,23008,23224,24918,163_PR_2,2,2,24918,120
INTERPLUS S.A.,"??""u?'oa",5,JOSE P.ALESSANDRI 1800,164,2,90,NU,164_NU_2,21600,21902,22067,22922,22009,23016,23228,24990,164_NU_2,2,5,24990,90
INVERSIONES Y SERVICIOS S.A.,Santiago,1,HUERFANOS 979 P 7,314,4,20,SA,314_SA_4,21600,21903,22088,23006,22010,23043,23292,25037,314_SA_4,4,1,25037,20
ISAPRE COLMENA GOLDEN CROSS S.A.,Las Condes,3,APOQUINDO 5009 DPTO DE OPERACIONES,380,5,234,LC,380_LC_5,21600,21904,22090,23031,22014,23067,23309,25317,380_LC_5,5,3,25317,234
ISAPRE CONSALUD S.A.,Santiago,1,ALAMEDA 1511 P.7,59,1,60,SA,59_SA_1,21600,21909,22144,23083,22014,23067,23622,25986,59_SA_1,1,1,25986,60
ISAPRE CONSALUD S.A.,Santiago,1,SAN MARTIN 30 PISO 1,57,1,60,SA,57_SA_1,21600,21909,22144,23083,22014,23067,23622,25986,57_SA_1,1,1,25986,60
ISAPRE CONSALUD S.A.,Santiago,1,ALAMEDA 1511 P.7,58,1,60,SA,58_SA_1,21600,21909,22144,23083,22014,23067,23622,25986,58_SA_1,1,1,25986,60
ISAPRE PROMEPART,Santiago,1,MERCED 280 PISO 3,165,2,120,SA,165_SA_2,21600,21933,22186,23134,22033,23169,23756,26815,165_SA_2,2,1,26815,120
ISE LAS AMERICAS CIA DE SEG DE VIDA S.A.,Las Condes,3,AV. EL BOSQUE NORTE 0177 OF. 602,60,1,90,LC,60_LC_1,21600,21937,22197,23222,22063,23191,23807,26905,60_LC_1,1,3,26905,90
JOHNSON`S S.A.,Santiago,1,"??""UBLE   1055  P. 2",167,2,60,SA,167_SA_2,21600,21951,22234,23306,22110,23201,23813,27301,167_SA_2,2,1,27301,60
JOHNSON`S S.A.,Santiago,1,AGUSTINAS 978,64,1,10,SA,64_SA_1,21600,21951,22234,23306,22110,23201,23813,27301,64_SA_1,1,1,27301,10
JOHNSON`S S.A.,Santiago,1,AHUMADA 55 PISO 2,62,1,150,SA,62_SA_1,21600,21951,22234,23306,22110,23201,23813,27301,62_SA_1,1,1,27301,150
JOHNSON`S S.A.,Santiago,1,NUBLE 1034 PISO 2,61,1,30,SA,61_SA_1,21600,21951,22234,23306,22110,23201,23813,27301,61_SA_1,1,1,27301,30
JOHNSON`S S.A.,Santiago,1,AVDA. KENNEDY 5413 L-123,166,2,40,SA,166_SA_2,21600,21951,22234,23306,22110,23201,23813,27301,166_SA_2,2,1,27301,40
JOHNSON`S S.A.,Santiago,1,"??""UBLE 1008 REC HUMANOS",65,1,30,SA,65_SA_1,21600,21951,22234,23306,22110,23201,23813,27301,65_SA_1,1,1,27301,30
JOHNSON`S S.A.,Santiago,1,"MATIAS COUSI??""O  64 E P OF 1",63,1,75,SA,63_SA_1,21600,21951,22234,23306,22110,23201,23813,27301,63_SA_1,1,1,27301,75
JOHNSON`S S.A.,Santiago,1,SAN DIEGO 1856 PISO 2 AUDITORIA,381,5,60,SA,381_SA_5,21600,21951,22234,23306,22110,23201,23813,27301,381_SA_5,5,1,27301,60
KOCH INGENIERIA (CHILE) LTDA.,Las Condes,3,EL BOSQUE NORTE 0440 OF.1202,242,3,40,LC,242_LC_3,21600,21966,22237,23307,22111,23218,23881,27670,242_LC_3,3,3,27670,40
KPMG JERIA Y ASOC. AUDIT. CONSULT. LTDA.,Santiago,1,MONJITAS 527 PISO 13 OF 1304,315,4,180,SA,315_SA_4,21600,21995,22256,23354,22133,23329,24164,27910,315_SA_4,4,1,27910,180
LABORATORIO CHILE S.A.,"??""u?'oa",5,AV MARATON 1315,316,4,60,NU,316_NU_4,21600,22006,22262,23388,22151,23391,24382,28053,316_NU_4,4,5,28053,60
LABORATORIO RECALCINE,Providencia,2,PEDRO DE VALDIVIA 428,66,1,75,PR,66_PR_1,21600,22040,22307,23427,22210,23455,24523,28210,66_PR_1,1,2,28210,75
LABORATORIO RIDER S.A.,Santiago,1,PLACER 1354  PISO 2,168,2,60,SA,168_SA_2,21600,22046,22307,23476,22281,23565,24524,28868,168_SA_2,2,1,28868,60
LAS AGUILAS LTDA.,Santiago,1,BANDERA 84 P2 OF 215,67,1,60,SA,67_SA_1,21600,22053,22314,23533,22291,23616,24612,29116,67_SA_1,1,1,29116,60
LE MANS ISE CIA.DE SEG.GENERALES S.A.,Las Condes,3,ENCOMENDEROS 138,317,4,45,LC,317_LC_4,21600,22055,22327,23628,22310,23669,24684,29227,317_LC_4,4,3,29227,45
